Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Cognitive Flexibility,Resourceful,Quick-witted,Concoct,Wittiness,"[ 0.0352525  -0.00242504 -0.00691744 ... -0.02613893 -0.00743965
  0.03093178]",2
Cognitive Flexibility,Resourceful,Resourceful,Utilize,Resourcefulness,"[ 0.01469044  0.02770479  0.0139862  ... -0.01645104 -0.01705669
  0.03388802]",2
Cognitive Flexibility,Resourceful,Adroit,Master,Adroitness,"[ 0.03951685  0.02360481  0.0067458  ... -0.01693579 -0.00377326
  0.02825557]",2
Cognitive Flexibility,Adaptive,Flexible,Adapt,Adaptation,"[ 0.03947425  0.02573552  0.01473612 ... -0.01587399 -0.00497291
  0.01416718]",2
Cognitive Flexibility,Adaptive,Adjustable,Adjust,Adjustability,"[ 0.0256839   0.01891925 -0.01357014 ... -0.0132707  -0.01001087
  0.0160065 ]",2
Cognitive Flexibility,Adaptive,Variable,Change,Variability,"[ 0.00694543  0.01237057 -0.00106733 ... -0.02585185 -0.00488367
  0.02306118]",2
Cognitive Flexibility,Adaptive,Versatile,Versatilize,Versatility,"[ 0.032924    0.00888978  0.00922287 ... -0.00199298  0.00699487
  0.02519634]",2
Cognitive Flexibility,Adaptive,Malleable,Modify,Malleability,"[ 0.05904711  0.04274426 -0.00247212 ... -0.03525523 -0.02787434
  0.01362626]",2
Analytical Reasoning,Rational,Logical,Rationalize,Rationality,"[ 0.01220224  0.00893182 -0.01603605 ...  0.02281049 -0.00535565
  0.02429454]",0
Analytical Reasoning,Rational,Reasonable,Reason,Reasoning,"[ 0.01421381  0.00178004 -0.00779703 ...  0.00429998 -0.01754497
  0.02765788]",0
Analytical Reasoning,Rational,Analytical,Analyze,Analysis,"[ 0.01056229  0.00672053 -0.02052568 ...  0.01172604  0.00174564
  0.03473577]",0
Analytical Reasoning,Rational,Sensible,Sense,Sensibility,"[ 0.05650489 -0.0004177  -0.02226038 ...  0.01283807  0.01550121
  0.0056447 ]",0
Analytical Reasoning,Rational,Cogent,Clarify,Cogency,"[ 0.02762579  0.00598219 -0.01903822 ...  0.01986786 -0.00366973
  0.02199292]",0
Analytical Reasoning,Predictable,Consistent,Predict,Predictability,"[ 0.04045823 -0.0328025  -0.01335666 ... -0.01591085  0.00741734
  0.01750465]",0
Analytical Reasoning,Predictable,Stable,Stabilize,Consistency,"[ 0.03357222 -0.01510615  0.00060898 ... -0.00578912 -0.00781515
  0.02663736]",0
Analytical Reasoning,Predictable,Dependable,Ensure,Stability,"[ 0.03380002  0.00028623  0.00988317 ... -0.0040902  -0.00742125
  0.01424652]",0
Analytical Reasoning,Predictable,Reliable,Secure,Dependability,"[ 0.02398771  0.00181335 -0.00842285 ... -0.00563843 -0.002546
  0.00248335]",0
Analytical Reasoning,Predictable,Unchanging,Maintain,Reliability,"[ 0.02859925  0.00460335 -0.00440612 ... -0.01652558  0.00930532
  0.01221456]",0
Analytical Reasoning,Logical,Reasonable,Logize,Logic,"[ 0.02883323  0.01437459 -0.02916948 ...  0.0153413  -0.00613302
  0.01476687]",0
Analytical Reasoning,Logical,Analytical,Reason,Reasoning,"[ 0.01450102  0.00574269 -0.00620963 ...  0.01053853 -0.00686788
  0.0264728 ]",0
Analytical Reasoning,Logical,Rational,Analyze,Analysis,"[ 0.01379912  0.01140648 -0.01752395 ...  0.01282483 -0.00267764
  0.0354986 ]",0
Analytical Reasoning,Logical,Valid,Validate,Validity,"[ 0.02025537  0.01864737  0.01278966 ...  0.01206674 -0.02205254
  0.02397133]",0
Analytical Reasoning,Logical,Well-founded,Found,Foundation,"[-0.00342827 -0.00954194  0.02818458 ... -0.00937647  0.00321799
  0.01631231]",0
Analytical Reasoning,Sound,Valid,Validate,Soundness,"[ 0.02243971  0.02404762 -0.01097084 ... -0.0002499  -0.00870126
  0.01691871]",0
Analytical Reasoning,Sound,Sensible,Justify,Sensibility,"[ 0.06345883  0.00702886 -0.02768667 ...  0.00396235  0.01545125
  0.00750741]",0
Analytical Reasoning,Sound,Justifiable,Rationalize,Justifiability,"[ 0.0057426   0.01876338 -0.02151197 ...  0.01232661 -0.00764278
  0.00922042]",0
Analytical Reasoning,Sound,Warranted,Warrant,Warranty,"[ 0.00337534  0.01420253 -0.02960483 ...  0.00389537  0.00961378
  0.01551137]",0
Analytical Reasoning,Sound,Rational,Confirm,Rationality,"[ 0.01701705  0.00479521 -0.01181701 ...  0.00916464 -0.01087472
  0.00167518]",0
Analytical Reasoning,Systematic,Methodical,Systematize,Systematization,"[ 0.000997   -0.00460101 -0.00573508 ...  0.00052574  0.00108214
  0.02061088]",0
Analytical Reasoning,Systematic,Organized,Organize,Organization,"[ 0.0134945  -0.00722123  0.0032046  ... -0.00155612  0.00299374
  0.02279288]",0
Analytical Reasoning,Systematic,Orderly,Order,Orderliness,"[ 0.01013715  0.00488524  0.00311663 ... -0.00956199  0.01718283
  0.01375345]",0
Analytical Reasoning,Systematic,Structured,Structure,Structure,"[-0.00147269  0.00959139  0.00922064 ...  0.01456903 -0.00151732
  0.02721565]",0
Analytical Reasoning,Systematic,Systematized,Coordinate,Coordination,"[ 0.00775205  0.00089096  0.01716422 ... -0.00089953 -0.00276266
  0.040276  ]",0
Innovativeness,Innovative,Creative,Create,Creativity,"[ 0.04782787 -0.01126351  0.00619213 ... -0.05175049 -0.00633222
  0.02834089]",2
Innovativeness,Innovative,Inventive,Invent,Invention,"[ 0.03459657 -0.01924315 -0.01352713 ... -0.04841622 -0.00277302
  0.0260423 ]",2
Innovativeness,Innovative,Original,Originate,Originality,"[ 0.03252329 -0.03284675  0.00358756 ... -0.03737531 -0.00558351
  0.00277521]",2
Innovativeness,Innovative,Imaginative,Imagine,Imagination,"[ 0.0375021  -0.03776745 -0.019267   ... -0.04799797 -0.00833626
  0.03263744]",2
Innovativeness,Innovative,Resourceful,Utilize,Resourcefulness,"[ 0.01948235  0.00532197  0.02195769 ... -0.04930287 -0.01359979
  0.03500416]",2
Innovativeness,Divergent,Different,Diverge,Difference,"[ 0.04775957 -0.02393519  0.03133183 ... -0.03050075 -0.02159431
  0.02297945]",2
Innovativeness,Divergent,Unconventional,Deviate,Unconventionality,"[ 0.04930352 -0.01710381  0.03708023 ... -0.02962022 -0.03027975
  0.01116804]",2
Innovativeness,Divergent,Nonconformist,Rebel,Nonconformity,"[ 0.04566907 -0.00854458  0.05186995 ... -0.02853582 -0.03726408
  0.02058635]",2
Innovativeness,Divergent,Eccentric,Vary,Eccentricity,"[ 0.06486747 -0.01612719  0.05045912 ... -0.03871123 -0.02475127
  0.01017851]",2
Innovativeness,Divergent,Quirky,Alter,Quirkiness,"[ 0.04832999 -0.01017873  0.01803652 ... -0.0611027  -0.00468737
  0.01852194]",2
Innovativeness,Unique,Distinctive,Differentiate,Distinctiveness,"[ 0.03835142 -0.02842813 -0.00622651 ... -0.02369011 -0.00863746
  0.02088084]",2
Innovativeness,Unique,Individual,Individualize,Individuality,"[ 0.0502475  -0.03478434 -0.00690709 ... -0.04371377 -0.02714609
  0.01955452]",2
Innovativeness,Unique,Special,Specialize,Specialty,"[ 0.04797366 -0.01720456  0.00901451 ... -0.03864026 -0.03366245
  0.01109119]",2
Innovativeness,Unique,Exceptional,Excel,Exceptionality,"[ 0.03393144 -0.01808169  0.00973455 ... -0.0320916  -0.0074159
  0.03236305]",2
Innovativeness,Unique,Uncommon,Stand out,Uncommonness,"[ 0.03764495 -0.02970849  0.00631724 ... -0.03357029 -0.00398723
  0.03506028]",2
Innovativeness,Pioneering,Trailblazing,Pioneer,Pioneering,"[ 0.04668242 -0.05753173  0.05786301 ... -0.0582495  -0.02427983
  0.00988999]",2
Innovativeness,Pioneering,Groundbreaking,Lead,Leadership,"[ 0.03493637 -0.05023362  0.05888864 ... -0.05940621 -0.01515347
  0.01217022]",2
Innovativeness,Pioneering,Cutting-edge,Innovate,Innovation,"[ 0.02571052 -0.03513633  0.05246989 ... -0.041181   -0.02092171
  0.00587216]",2
Innovativeness,Pioneering,Revolutionary,Revolutionize,Revolution,"[ 0.02878515 -0.03345149  0.04059156 ... -0.0297128  -0.01690846
  0.01395686]",2
Innovativeness,Pioneering,Inceptive,Initiate,Inception,"[ 0.02415822 -0.03461159  0.0481949  ... -0.03421656 -0.00983802
  0.02341373]",2
Innovativeness,Novel,Fresh,Innovate,Novelty,"[ 0.02210168 -0.0133693  -0.02983497 ... -0.04402031  0.00251485
  0.00861035]",2
Innovativeness,Novel,Innovatory,Develop,Innovation,"[ 0.00963876 -0.039575    0.00547508 ... -0.04540342 -0.00264465
  0.02204601]",2
Innovativeness,Novel,Newfangled,Experiment,Experimentation,"[ 0.00981596 -0.02828382  0.01386662 ... -0.06575437 -0.01330032
  0.00650072]",2
Innovativeness,Novel,Experimental,Advance,Advancement,"[ 0.03851737 -0.03132346  0.0219564  ... -0.03896699 -0.00242232
  0.01753514]",2
Innovativeness,Novel,Advanced,Renew,Renewal,"[ 0.02147979  0.02537116  0.00480245 ... -0.04824072 -0.01075533
  0.0144228 ]",2
Emotional Sensitivity,Empathetic,Compassionate,Empathize,Empathy,"[ 0.0167133  -0.02578027 -0.00194118 ... -0.02618417  0.02688056
 -0.01625369]",0
Emotional Sensitivity,Empathetic,Sympathetic,Sympathize,Compassion,"[ 0.01295389 -0.02661815  0.00142597 ... -0.02256484  0.02221661
 -0.01840009]",0
Emotional Sensitivity,Empathetic,Understanding,Understand,Understanding,"[-0.00547874 -0.01634695 -0.02458656 ... -0.0071022   0.0186879
 -0.005406  ]",0
Emotional Sensitivity,Empathetic,Considerate,Consider,Consideration,"[ 0.04818192 -0.02186739 -0.00984919 ... -0.03500419  0.01699736
 -0.01549679]",0
Emotional Sensitivity,Empathetic,Kind-hearted,Support,Kind-heartedness,"[ 0.01280939 -0.01775382  0.00473307 ... -0.03376556  0.02259577
 -0.01970084]",0
Emotional Sensitivity,Emotionally Intelligent,Emotionally aware,Perceive,Emotional intelligence,"[ 0.02549557 -0.02947806 -0.02648159 ... -0.04581776  0.02321621
 -0.00845797]",0
Emotional Sensitivity,Emotionally Intelligent,Emotionally in tune,Tune in,Emotional awareness,"[ 0.01307867 -0.00064673 -0.0255059  ... -0.0407894   0.03126853
 -0.01066713]",0
Emotional Sensitivity,Emotionally Intelligent,Emotionally savvy,Manage,Sensitivity,"[ 0.02955413 -0.01599593 -0.02548667 ... -0.03996244  0.02077554
 -0.01279812]",0
Emotional Sensitivity,Emotionally Intelligent,Sensitive to emotions,Navigate,Perceptiveness,"[ 0.02644708 -0.00973938 -0.01680153 ... -0.04548798  0.01707676
 -0.00684321]",0
Emotional Sensitivity,Emotionally Intelligent,Emotionally perceptive,Read,Acuity,"[ 0.01343453 -0.00685757 -0.01779111 ... -0.04116649  0.03479649
 -0.00151445]",0
Emotional Sensitivity,Sensitive,Tuned in,Sense,Sensitivity,"[ 0.02067945  0.00383647 -0.02760897 ... -0.032165    0.02886393
 -0.02062489]",0
Emotional Sensitivity,Sensitive,Caring,Care for,Care,"[ 0.05725114 -0.01607221  0.00550519 ... -0.03298225  0.02605625
 -0.02717335]",0
Emotional Sensitivity,Sensitive,Considerate,Attend to,Consideration,"[ 0.05823252 -0.01347038 -0.01378507 ... -0.02732386  0.0301014
 -0.01826608]",0
Emotional Sensitivity,Sensitive,Responsive,Respond to,Responsiveness,"[-0.00350526 -0.01303178  0.00333873 ... -0.0078349   0.0217636
 -0.02333322]",0
Emotional Sensitivity,Sensitive,Attentive,Heed,Attentiveness,"[ 0.02413653  0.00139309 -0.0123026  ... -0.0195601   0.03878937
 -0.03341345]",0
Emotional Sensitivity,Compassive,Cordial,Comfort,Compassion,"[ 0.04050692 -0.02625022  0.00990329 ... -0.0376527   0.01147456
 -0.01947504]",0
Emotional Sensitivity,Compassive,Tender-hearted,Nurture,Tenderness,"[ 0.03693476 -0.00097625  0.01746803 ... -0.0378109  -0.00064513
 -0.03047323]",0
Emotional Sensitivity,Compassive,Supportive,Aid,Support,"[ 0.03333011 -0.02464027  0.0352453  ... -0.01670793 -0.00563482
 -0.01374224]",0
Emotional Sensitivity,Compassive,Solicitous,Encourage,Solicitude,"[ 0.04023172 -0.04092637  0.02007245 ... -0.02157752 -0.00585024
 -0.01526779]",0
Emotional Sensitivity,Compassive,Feeling,Care,Feeling,"[ 0.0456642  -0.019386    0.01592659 ... -0.02319135  0.01406383
 -0.01919972]",0
Emotional Sensitivity,Heartfelt,Sincere,Express,Sincerity,"[ 0.01277233 -0.03742723 -0.02799867 ... -0.01140182  0.00857468
 -0.01610175]",0
Emotional Sensitivity,Heartfelt,Genuine,Convey,Genuineness,"[ 0.01848506 -0.00108693 -0.00745737 ... -0.01025028  0.00543107
 -0.01894575]",0
Emotional Sensitivity,Heartfelt,Wholehearted,Manifest,Heartfelt emotion,"[ 0.0223765  -0.01683485 -0.00403729 ... -0.00484544  0.00476848
 -0.03073096]",0
Emotional Sensitivity,Heartfelt,Deeply felt,Project,Earnestness,"[ 0.01787535 -0.00743814 -0.01029954 ... -0.01322419  0.01995907
 -0.03432186]",0
Emotional Sensitivity,Heartfelt,Earnest,Reveal,Depth,"[ 0.0342294  -0.00786652 -0.01086011 ... -0.01549534  0.00062769
 -0.01138009]",0
Assertiveness,Assertive,Confident,Assert,Assertiveness,"[ 0.01385149 -0.03492985  0.00070816 ... -0.00199754 -0.01505597
  0.01684868]",0
Assertiveness,Assertive,Decisive,Decide,Confidence,"[ 0.01662507 -0.0322137   0.00829853 ... -0.00667734 -0.00885877
  0.0291604 ]",0
Assertiveness,Assertive,Determined,Determine,Decisiveness,"[ 0.01396009 -0.03568047 -0.00500131 ... -0.00454441 -0.0244899
  0.03270007]",0
Assertiveness,Assertive,Bold,Boldly act,Boldness,"[ 0.01938776 -0.03381552  0.02865129 ...  0.00121173 -0.02567529
  0.02996423]",0
Assertiveness,Assertive,Resolute,Resolve,Resolution,"[ 0.00353249 -0.00848527  0.02474018 ...  0.02490084 -0.01952634
  0.02354261]",0
Assertiveness,Dominant,Commanding,Dominate,Dominance,"[ 0.0217161   0.00242974  0.04407478 ... -0.00469152 -0.01455285
  0.03519556]",0
Assertiveness,Dominant,Controlling,Control,Control,"[ 0.01313626  0.00097269  0.06033379 ... -0.03490409 -0.01427696
  0.02875736]",0
Assertiveness,Dominant,Overbearing,Command,Command,"[ 0.02699247 -0.01064241  0.02286036 ... -0.00936413 -0.01315437
  0.02715597]",0
Assertiveness,Dominant,Authoritative,Overbear,Authority,"[ 0.027624   -0.00068468  0.02801759 ... -0.01924205 -0.00932219
  0.00733239]",0
Assertiveness,Dominant,Imperious,Rule,Imperiousness,"[ 0.01023449  0.00812363  0.02764733 ... -0.00803123 -0.00313787
  0.02278595]",0
Assertiveness,Self-assured,Confident,Reassure,Self-assurance,"[ 0.01975565 -0.06199898  0.00283155 ...  0.00575577 -0.02510986
  0.01744923]",0
Assertiveness,Self-assured,Positive,Self-validate,Confidence,"[-0.0069671  -0.05135398  0.02217362 ...  0.00189766 -0.03128527
  0.02041472]",0
Assertiveness,Self-assured,Secure,Secure,Security,"[ 0.01074016 -0.03306473  0.01165781 ... -0.00241709 -0.01660578
 -0.0043937 ]",0
Assertiveness,Self-assured,Self-confident,Affirm,Self-belief,"[ 0.01746252 -0.02861494  0.00545618 ...  0.00984239 -0.02572053
  0.00856665]",0
Assertiveness,Self-assured,Assured,Fortify,Assuredness,"[-0.00252534 -0.04054464  0.0054823  ...  0.01390938 -0.02155326
  0.00620631]",0
Assertiveness,Unyielding,Persistent,Persist,Persistence,"[ 0.01870861 -0.0105584   0.04431065 ... -0.01354606 -0.01146899
  0.0153823 ]",0
Assertiveness,Unyielding,Unwavering,Hold firm,Unwavering stance,"[-0.00422877 -0.00911256  0.02360915 ...  0.00556758 -0.01352488
  0.01424467]",0
Assertiveness,Unyielding,Tenacious,Stand strong,Tenacity,"[ 0.00824242 -0.00186917  0.02716172 ...  0.00059191 -0.01298128
  0.00662428]",0
Assertiveness,Unyielding,Steadfast,Resist,Steadfastness,"[ 0.00131301 -0.0075039   0.02862343 ...  0.00108417 -0.01635823
  0.02508727]",0
Assertiveness,Unyielding,Inflexible,Endure,Inflexibility,"[ 0.01499259  0.00451394  0.02942313 ... -0.00739794 -0.03043482
  0.02567147]",0
Assertiveness,Courageous,Brave,Brave,Courage,"[ 0.01204199 -0.04658291  0.03642684 ... -0.01356834 -0.02443621
  0.00744828]",0
Assertiveness,Courageous,Fearless,Face,Bravery,"[ 0.0084884  -0.0366195   0.04936308 ... -0.01270697 -0.01143993
  0.00497293]",0
Assertiveness,Courageous,Valiant,Challenge,Valiance,"[ 1.66335423e-02 -2.73883808e-02  2.77225710e-02 ...  2.80073909e-05
 -2.71909051e-02  1.29802395e-02]",0
Assertiveness,Courageous,Heroic,Confront,Heroism,"[-0.00914325 -0.04357956  0.04705263 ... -0.02304311 -0.02577627
  0.00214236]",0
Assertiveness,Courageous,Daring,Dare,Daringness,"[ 0.02989043 -0.02496645  0.03413573 ... -0.02454769 -0.02102438
  0.01169625]",0
Intuition,Intuitive,Instinctive,Sense,Instinct,"[-0.00188653  0.01365456 -0.03660678 ... -0.03225717 -0.01513606
  0.01008584]",2
Intuition,Intuitive,Natural,Intuit,Intuition,"[-0.0181523  -0.00342153 -0.02946153 ... -0.02352683 -0.00977257
  0.02498023]",2
Intuition,Intuitive,Inherent,Perceive,Perception,"[-0.00887066 -0.01771257 -0.01506718 ... -0.04520155  0.01275966
  0.00114657]",2
Intuition,Intuitive,Spontaneous,Feel,Feeling,"[-0.00804312 -0.03492072 -0.03045481 ... -0.03874438 -0.0029779
 -0.00393194]",2
Intuition,Intuitive,Automatic,Grasp,Grasping,"[-0.00311601  0.01768226  0.00636994 ... -0.01344806  0.00539712
 -0.00727567]",2
Intuition,Impulsivity,Unthinking,Act impulsively,Impulsiveness,"[ 0.00655533  0.02255862 -0.02158794 ... -0.0239564  -0.01436607
  0.02730848]",2
Intuition,Impulsivity,Rash,React,Haste,"[ 0.00190257  0.04093697 -0.01232726 ... -0.01634401 -0.01926808
 -0.00030179]",2
Intuition,Impulsivity,Hasty,Leap,Rashness,"[ 0.00769694  0.01589822 -0.00478377 ... -0.02708418 -0.03045653
  0.00566826]",2
Intuition,Impulsivity,Impetuous,Rush,Impetuosity,"[-0.00825575  0.01374509 -0.04495761 ... -0.03247261 -0.01292676
  0.00547849]",2
Intuition,Impulsivity,Cavalier,Hasten,Cavalier behavior,"[ 0.02720289 -0.00200357  0.01139495 ... -0.02119808 -0.01368813
 -0.01981114]",0
Intuition,Instinctual,Innate,Follow instinct,Instinct,"[-0.00200183  0.03811745 -0.0245734  ... -0.03391159 -0.01378669
  0.00766172]",2
Intuition,Instinctual,Inborn,React primitively,Inborn trait,"[-0.00122402  0.04391214 -0.01371734 ... -0.01557591 -0.02013911
  0.00786424]",2
Intuition,Instinctual,Primitive,Operate naturally,Primitiveness,"[ 0.0096927   0.06556828 -0.00340314 ... -0.01647759 -0.03332579
 -0.00267975]",2
Intuition,Instinctual,Hardwired,Behave instinctively,Hardwiring,"[ 0.0130428   0.00396842 -0.03592699 ... -0.05080764 -0.03465235
 -0.01350967]",2
Intuition,Instinctual,Inherent,Act inherently,Inherent nature,"[-0.00173592  0.02586606 -0.01150869 ... -0.02280372 -0.00035008
  0.01270513]",2
Intuition,Perceptive,Observant,Observe,Perceptiveness,"[ 0.0128391  -0.02335862 -0.03836131 ... -0.03464456  0.01734941
  0.0053208 ]",2
Intuition,Perceptive,Aware,Perceive,Awareness,"[ 0.00238384 -0.03144895 -0.02389957 ... -0.03800535  0.01327603
 -0.00017503]",2
Intuition,Perceptive,Insightful,Discern,Insight,"[ 0.00737101 -0.03119808 -0.01627601 ... -0.02838939 -0.01526776
  0.01255269]",2
Intuition,Perceptive,Discerning,Detect,Discernment,"[-0.00181268 -0.0097751   0.00302171 ... -0.03207606 -0.00619433
 -0.00182126]",2
Intuition,Perceptive,Keen,Recognize,Keenness,"[-0.00340703 -0.00797744 -0.04235642 ... -0.01390626  0.00723125
 -0.00791639]",2
Intuition,Responsive,Attuned,Respond,Responsiveness,"[-0.01753717  0.00627421 -0.01051312 ... -0.02056716  0.00867677
 -0.02072019]",0
Intuition,Responsive,Sensitive,React,Receptivity,"[ 0.0073563  -0.00373391 -0.02365707 ... -0.0221958   0.00084503
 -0.00264373]",2
Intuition,Responsive,Receptive,Reply,Sensitivity,"[-0.00117635 -0.01200739 -0.00570793 ... -0.02129526  0.00596529
 -0.00661444]",0
Intuition,Responsive,Quick to react,Heed,Readiness,"[-0.01160686  0.01667653 -0.02795727 ... -0.02792763 -0.00836791
 -0.01563888]",2
Intuition,Responsive,Answering,Acknowledge,Alertness,"[-0.01194583 -0.02355365 -0.017792   ... -0.01414295  0.01248359
  0.00754009]",0
Perseverance,Patient,Tolerant,Wait patiently,Patience,"[ 2.23427024e-02 -4.44441885e-02  2.33678743e-02 ... -1.45389629e-03
 -4.90725366e-03  8.69817304e-05]",0
Perseverance,Patient,Forbearing,Tolerate,Tolerance,"[ 0.03181066 -0.01515192  0.00888872 ... -0.0061909  -0.00812009
  0.00248473]",0
Perseverance,Patient,Enduring,Endure,Endurance,"[ 0.04124049 -0.01730003  0.03946389 ... -0.01676123 -0.01454047
  0.00824955]",0
Perseverance,Patient,Steadfast,Persevere,Steadfastness,"[ 0.01657291 -0.03156484  0.02635855 ... -0.0330913  -0.00661008
  0.01760871]",0
Perseverance,Patient,Calm,Maintain composure,Calmness,"[ 0.05184023 -0.01770259 -0.00913613 ... -0.01024699  0.00602073
  0.00527303]",0
Perseverance,Persevering,Persistent,Persist,Persistence,"[ 0.0407418  -0.02029512  0.08324181 ... -0.03719508  0.00263162
  0.01433845]",0
Perseverance,Persevering,Determined,Continue,Determination,"[ 0.04055415 -0.03147829  0.04115729 ... -0.03314411 -0.02300557
  0.01750549]",0
Perseverance,Persevering,Dogged,Insist,Tenacity,"[ 0.03245463 -0.00664729  0.05297656 ... -0.01654437 -0.01539145
  0.00421896]",0
Perseverance,Persevering,Tenacious,Persevere,Doggedness,"[ 0.03591118 -0.02701133  0.06405625 ... -0.03072432  0.00010457
  0.00826212]",0
Perseverance,Persevering,Relentless,Push,Relentlessness,"[ 0.03987481 -0.00618196  0.05191937 ... -0.03196676 -0.00632644
  0.00599187]",0
Perseverance,Enduring,Lasting,Last,Endurance,"[ 0.06087304 -0.00387361  0.06633824 ... -0.01670084 -0.00595576
  0.02274745]",0
Perseverance,Enduring,Durable,Survive,Durability,"[ 0.07514197  0.02045596  0.04844371 ... -0.01385467 -0.01310002
  0.01484376]",0
Perseverance,Enduring,Persistent,Persist,Persistence,"[ 0.05459201 -0.00663782  0.08055057 ... -0.03629335 -0.00191498
  0.01554778]",0
Perseverance,Enduring,Constant,Withstand,Constancy,"[ 0.06810064 -0.00888364  0.05299627 ... -0.02709474 -0.00400892
  0.02249649]",0
Perseverance,Enduring,Unyielding,Endure,Resilience,"[ 0.05495154  0.00269802  0.06077386 ... -0.02518843 -0.01145055
  0.02144552]",0
Perseverance,Resilient,Tough,Recover,Resilience,"[ 0.02884029  0.0128762   0.05357338 ... -0.01746306 -0.00902383
  0.020476  ]",0
Perseverance,Resilient,Flexible,Rebound,Toughness,"[ 0.01248856  0.0145602   0.05157042 ... -0.01535359 -0.00988066
  0.01230491]",0
Perseverance,Resilient,Recoverable,Adapt,Recovery,"[ 0.04154386  0.01537456  0.06437482 ... -0.01798619  0.00341215
  0.01143819]",0
Perseverance,Resilient,Strong,Bounce back,Adaptability,"[ 0.01366871  0.02433766  0.04989219 ... -0.02184729 -0.01046378
  0.01472994]",0
Perseverance,Resilient,Adaptable,Resist,Flexibility,"[ 0.02942569  0.01130181  0.06084237 ... -0.01582546 -0.01870947
  0.00328294]",0
Perseverance,Unyielding,Inflexible,Stand firm,Inflexibility,"[ 0.01768444 -0.00903398  0.04670396 ... -0.00984363 -0.01941737
  0.01612196]",0
Perseverance,Unyielding,Stubborn,Resist,Stubbornness,"[ 0.0137133  -0.01891154  0.02965641 ... -0.0143265  -0.01391538
  0.00870321]",0
Perseverance,Unyielding,Obdurate,Insist,Obduracy,"[ 0.02774884 -0.01055725  0.03455624 ... -0.01791271 -0.01570607
 -0.00325227]",0
Perseverance,Unyielding,Adamant,Persist,Adamance,"[ 0.04025684  0.00422222  0.05684335 ... -0.00669508 -0.02236011
  0.0166441 ]",0
Perseverance,Unyielding,Intransigent,Hold fast,Firmness,"[ 0.01277267 -0.01400827  0.03155093 ... -0.01198964 -0.00992073
 -0.00262924]",0
Harmony,Harmonious,Balanced,Balance,Harmony,"[ 0.05211235 -0.01466038  0.01550675 ... -0.0310135  -0.00663873
 -0.00168991]",0
Harmony,Harmonious,Symmetrical,Coordinate,Balance,"[ 5.15774600e-02 -9.79727629e-05  3.28657702e-02 ... -2.55339574e-02
 -3.52259632e-03  2.82373861e-03]",0
