Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Clinical Syndromes,Alcohol Use Disorder,Withdrawal,Withdraw,Withdrawal,"[-0.02173221 -0.01057574 -0.0058073  ...  0.0365989  -0.03657309
  0.0072075 ]",1
Clinical Syndromes,Drug Use Disorder,Dependent,Crave,Craving,"[-0.03327405  0.00687967 -0.03672727 ...  0.0194344  -0.04197402
  0.01938086]",1
Clinical Syndromes,Drug Use Disorder,Tolerant,Tolerate,Tolerance,"[ 0.00581326  0.00315525 -0.02587082 ...  0.00869429 -0.03106253
  0.01962614]",1
Clinical Syndromes,Drug Use Disorder,Abstinent,Quit,Abstinence,"[-0.02432092  0.00545159 -0.00455595 ...  0.02729512 -0.05202161
  0.02180636]",1
Clinical Syndromes,PTSD,Flashbacks,Flash back,Flashbacks,"[-0.04107076 -0.01767335 -0.00435569 ...  0.00809809 -0.01325501
 -0.00533168]",1
Clinical Syndromes,PTSD,Hypervigilant,Stay alert,Hypervigilance,"[-0.0223758   0.04935351 -0.00555261 ... -0.00015845 -0.00797758
 -0.01650628]",1
Clinical Syndromes,PTSD,Avoidant,Avoid,Avoidance,"[-0.00572928  0.0275893   0.04032684 ... -0.00653843 -0.00582064
  0.00022247]",1
Clinical Syndromes,Schizophrenic Spectrum,Delusional,Delude,Delusions,"[-0.00302653 -0.02201235  0.00347113 ...  0.03951949 -0.03543581
  0.00013513]",1
Clinical Syndromes,Schizophrenic Spectrum,Hallucinatory,Hallucinate,Hallucinations,"[-0.00623222  0.00013952 -0.00403351 ...  0.01193234 -0.03730768
 -0.0296015 ]",1
Clinical Syndromes,Schizophrenic Spectrum,Disorganized,Disorganize,Disorganization,"[ 0.01290649 -0.00271186 -0.00017812 ...  0.02616752 -0.0402808
  0.0030647 ]",1
Clinical Syndromes,Major Depression,Despondent,Feel despair,Despair,"[ 0.01632263 -0.02574202  0.03530334 ...  0.03249042 -0.03104526
  0.0038613 ]",4
Clinical Syndromes,Major Depression,Low energy,Sleep more,Fatigue,"[-0.03701911  0.00138635  0.0190697  ...  0.02945098 -0.03303589
  0.01294549]",4
Clinical Syndromes,Major Depression,Anhedonic,Lose interest,Anhedonia,"[-0.0174072   0.00130263  0.01813035 ...  0.03380715 -0.01649035
  0.0049781 ]",4
Clinical Syndromes,Delusional Disorder,Fixed belief,Believe falsely,Delusion,"[ 0.00094734 -0.03531035 -0.00974124 ...  0.02863214 -0.02551652
  0.01189062]",1
Clinical Syndromes,Delusional Disorder,Paranoid,Suspect wrongly,Paranoia,"[ 0.01242715 -0.02211065  0.00198041 ...  0.01747064 -0.04099346
 -0.00336401]",1
Clinical Syndromes,Delusional Disorder,Misbelief,Misinterpret,Misinterpretation,"[ 0.02073442 -0.00331091 -0.035972   ...  0.03898988 -0.01614024
  0.02826564]",1
Modifying Indices,Disclosure Index,Revealing,Disclose,Disclosure,"[ 0.01054327 -0.02826172  0.0347921  ...  0.02238987 -0.03646585
  0.02602548]",3
Modifying Indices,Disclosure Index,Disclosing,Reveal,Reporting,"[ 0.01337199 -0.01962996  0.04374677 ...  0.01824258 -0.03769543
  0.02537136]",3
Modifying Indices,Disclosure Index,Unveiling,Unveil,Exaggeration,"[ 0.02539808 -0.03675749  0.02785798 ...  0.01881745 -0.03453261
  0.00423824]",3
Modifying Indices,Desirability Index,Approval-seeking,Seek approval,Desirability,"[ 0.01313816 -0.00805886  0.03193969 ...  0.03398028 -0.01446898
  0.00142416]",3
Modifying Indices,Desirability Index,Favorable,Present positively,Self-presentation,"[ 0.02766698 -0.05790763  0.02201409 ...  0.02881594 -0.00721547
  0.00777846]",3
Modifying Indices,Desirability Index,Pleasing,Flatter,Flattery,"[ 0.01538253 -0.06027441  0.00401266 ...  0.02279609 -0.02342395
  0.00293604]",3
Modifying Indices,Debasement Index,Self-critical,Debase,Debasement,"[-0.00440438  0.01553693  0.05460378 ...  0.01314951 -0.0402643
  0.01900954]",3
Modifying Indices,Debasement Index,Negative bias,Criticize,Criticism,"[ 0.0112572   0.00070841  0.04496696 ...  0.02582353 -0.01895787
  0.01878778]",3
Modifying Indices,Debasement Index,Undermining,Undermine,Undermining,"[-0.01985474  0.0012915   0.0627873  ...  0.01000411 -0.03150527
  0.02957979]",3
