Index,Subtest,Synonym,Verb,Noun,Embedding,Cluster
Verbal Comprehension Index (VCI),Comprehension,Grasp,Comprehend,Perception,"[ 0.00949224  0.00743602 -0.01690239 ...  0.00948577  0.01657908
  0.02078205]",2
Perceptual Reasoning Index (PRI),Block Design,Pattern,Replicate,Block,"[ 0.02830571  0.00908561 -0.00842497 ... -0.01555588 -0.0194789
 -0.00177932]",0
Perceptual Reasoning Index (PRI),Block Design,Design,Construct,Pattern,"[ 0.01893503 -0.00106861 -0.000322   ... -0.00436699 -0.01552096
 -0.00468577]",0
Perceptual Reasoning Index (PRI),Block Design,Replication,Arrange,Design,"[ 0.04659996  0.01038808  0.00971878 ... -0.00186672 -0.0088961
 -0.00222925]",0
Perceptual Reasoning Index (PRI),Block Design,Structure,Build,Structure,"[ 0.01682423  0.00461945 -0.00040252 ...  0.00569885 -0.01255256
 -0.00063239]",0
Perceptual Reasoning Index (PRI),Matrix Reasoning,Pattern,Identify,Matrix,"[-0.00545972  0.02036807 -0.01676984 ...  0.01524651 -0.01430099
 -0.00697321]",0
Perceptual Reasoning Index (PRI),Matrix Reasoning,Arrangement,Organize,Pattern,"[ 2.60857330e-03  1.31966965e-02  5.04756463e-05 ...  4.03886987e-03
 -1.49641121e-02 -1.67446192e-02]",0
Perceptual Reasoning Index (PRI),Matrix Reasoning,Sequence,Sequence,Arrangement,"[ 0.00724038  0.00018249 -0.00949601 ...  0.00388981 -0.00182818
 -0.0113768 ]",0
Perceptual Reasoning Index (PRI),Matrix Reasoning,Logic,Analyze,Sequence,"[ 0.0056541   0.02863975 -0.03706472 ...  0.01772325 -0.00923407
 -0.00711499]",0
Perceptual Reasoning Index (PRI),Visual Puzzles,Puzzle,Solve,Puzzle,"[-0.01475569  0.0175997  -0.00110556 ...  0.00089513  0.00293169
 -0.01374817]",0
Perceptual Reasoning Index (PRI),Visual Puzzles,Problem‑solving,Complete,Jigsaw,"[-0.00516863  0.01639795 -0.00486035 ...  0.00745779  0.00355508
 -0.01035039]",0
Perceptual Reasoning Index (PRI),Visual Puzzles,Jigsaw,Arrange,Problem,"[-0.01285874  0.00609732  0.01190166 ...  0.00438174  0.00916714
 -0.01336007]",0
Perceptual Reasoning Index (PRI),Visual Puzzles,Game,Piece together,Solution,"[-0.01167785  0.01744907 -0.01968018 ...  0.00557455  0.00844081
 -0.0098143 ]",0
Perceptual Reasoning Index (PRI),Figure Weights,Balance,Balance,Weight,[0.06161411 0.03245261 0.02013789 ... 0.00276845 0.01646909 0.001031  ],0
Perceptual Reasoning Index (PRI),Figure Weights,Analogy,Calculate,Figure,"[ 0.0261334   0.01459571 -0.01487614 ... -0.01082326  0.01546371
  0.00494759]",0
Perceptual Reasoning Index (PRI),Figure Weights,Calculation,Reason,Balance,"[ 0.05576486  0.02551837  0.02079024 ... -0.00173252  0.0118068
 -0.00136356]",0
Perceptual Reasoning Index (PRI),Figure Weights,Weighing,Weigh,Calculation,[0.05223823 0.01924006 0.01309947 ... 0.00155344 0.01681842 0.00363911],0
Perceptual Reasoning Index (PRI),Picture Completion,Completion,Complete,Picture,"[ 0.04109106  0.01297543 -0.01827581 ... -0.00629748  0.01216201
 -0.01943035]",0
Perceptual Reasoning Index (PRI),Picture Completion,Attention,Observe,Completion,"[ 0.03282465  0.03079316 -0.02341563 ... -0.01511591  0.02358938
 -0.03028529]",0
Perceptual Reasoning Index (PRI),Picture Completion,Observation,Identify,Detail,"[ 0.0291709   0.03175064 -0.03691012 ... -0.01320345  0.01045361
 -0.02178604]",0
Perceptual Reasoning Index (PRI),Picture Completion,Missing details,Find,Observation,"[ 0.03739984  0.03428085 -0.02086355 ... -0.01535613  0.0140706
 -0.00514213]",0
Working Memory Index (WMI),Digit Span,Memory,Remember,Digit,"[ 0.01268474  0.00831239  0.00133548 ... -0.00547161  0.01312938
  0.00947341]",1
Working Memory Index (WMI),Digit Span,Sequence,Repeat,Memory,"[ 0.01812804  0.01762778  0.00621711 ... -0.00198131  0.01217751
  0.01779892]",1
Working Memory Index (WMI),Digit Span,Repetition,Sequence,Sequence,"[ 0.01954057  0.01206575  0.0191914  ... -0.00125119  0.01254424
  0.01756194]",1
Working Memory Index (WMI),Digit Span,Recall,Recall,Repetition,"[ 0.02097655  0.02180946  0.02428257 ... -0.00013365  0.00808565
  0.00361355]",1
Working Memory Index (WMI),Arithmetic,Calculation,Calculate,Arithmetic,"[ 0.00481641  0.03722139  0.00928063 ... -0.00724779 -0.01057819
  0.04327666]",1
Working Memory Index (WMI),Arithmetic,Numeracy,Solve,Calculation,"[-0.00512736  0.03794506  0.02036738 ...  0.00148768 -0.01053886
  0.03838418]",1
Working Memory Index (WMI),Arithmetic,Math,Add,Problem,"[-0.00284554  0.02555603  0.00335594 ... -0.00586067 -0.00238732
  0.04318043]",1
Working Memory Index (WMI),Arithmetic,Problem‑solving,Multiply,Math,"[ 0.00658086  0.02895065  0.01732145 ... -0.00982622 -0.01811991
  0.0486546 ]",1
Working Memory Index (WMI),Letter‑Number Sequencing,Arrangement,Arrange,Letter,"[ 0.00397375  0.00021204  0.0167343  ... -0.00362512 -0.01625655
  0.02361654]",1
Working Memory Index (WMI),Letter‑Number Sequencing,Sequencing,Sequence,Number,"[ 0.00730791  0.01814377  0.02540644 ... -0.01201185 -0.00218397
  0.02853379]",1
Working Memory Index (WMI),Letter‑Number Sequencing,Recall,Recall,Sequence,"[ 0.00973925  0.01190205  0.01216239 ... -0.00110226  0.00413534
  0.01038008]",1
Working Memory Index (WMI),Letter‑Number Sequencing,Memory,Organize,Arrangement,"[ 0.00789033  0.00769592  0.00520212 ... -0.00601998 -0.00907019
  0.01313938]",1
Processing Speed Index (PSI),Symbol Search,Recognition,Search,Symbol,"[ 0.04274637  0.00743415 -0.02591021 ... -0.00115902  0.01250413
  0.0134129 ]",3
Processing Speed Index (PSI),Symbol Search,Matching,Identify,Search,"[ 0.01949172  0.01053776 -0.00858581 ...  0.00143097  0.00226801
  0.00698465]",3
Processing Speed Index (PSI),Symbol Search,Speed,Match,Match,"[ 0.03216554  0.01510849 -0.02780244 ...  0.00367828  0.00435957
  0.01596981]",3
Processing Speed Index (PSI),Symbol Search,Identification,Recognize,Speed,"[ 0.04593884  0.00071909 -0.06306951 ...  0.01506508  0.01660739
  0.0231209 ]",3
Processing Speed Index (PSI),Coding,Coding,Code,Code,"[ 0.03638329  0.01264258 -0.00105497 ... -0.0166472  -0.01100929
  0.03389578]",3
Processing Speed Index (PSI),Coding,Pairing,Pair,Symbol,"[ 0.02865642 -0.01312857 -0.01852019 ... -0.02516535  0.00192582
  0.0255832 ]",3
Processing Speed Index (PSI),Coding,Efficiency,Match,Number,"[ 0.02300504  0.00690358  0.00099276 ... -0.01770574 -0.00868037
  0.03215462]",3
Processing Speed Index (PSI),Coding,Speed,Identify,Pairing,"[ 0.03777849 -0.0107279  -0.0105242  ... -0.02115704 -0.00167793
  0.03017391]",3
Processing Speed Index (PSI),Cancellation,Cancellation,Cancel,Cancellation,"[ 0.03837824  0.01986688 -0.02814122 ... -0.0203752  -0.01491075
  0.00678114]",3
Processing Speed Index (PSI),Cancellation,Targeting,Target,Target,"[ 0.02476294  0.0267084   0.00394303 ... -0.00859477 -0.01500784
 -0.00101529]",3
Processing Speed Index (PSI),Cancellation,Attention,Identify,Symbol,"[ 0.04274893  0.02619104 -0.04201693 ... -0.00645992  0.00036188
  0.00262972]",3
Processing Speed Index (PSI),Cancellation,Elimination,Eliminate,Attention,"[ 4.48829271e-02  1.35792289e-02 -4.36250605e-02 ... -3.95584386e-03
 -3.80575750e-03  1.25071847e-05]",3
