Domain,Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Trait Model,Self-Awareness,Recognizing emotional strengths and weaknesses,,Be aware,Awareness,"[-0.02288203  0.00713807 -0.00948391 ... -0.01217158  0.00627346
 -0.0063874 ]",11
Trait Model,Self-Awareness,Knowing one's emotional triggers,,Know,Knowledge,"[-0.02345838  0.00896938 -0.02415503 ... -0.01697417  0.00054049
 -0.01109283]",11
Trait Model,Emotional Resilience,Bouncing back from adversity,Emotional Resilience,Bounce back,Resilience,"[-0.04330899  0.03921973  0.03377623 ... -0.01160394 -0.0044411
  0.00781341]",0
Trait Model,Emotional Resilience,Handling stress and setbacks,,Handle,Handling,"[-0.01286555  0.01771354  0.01627094 ... -0.01591028 -0.0003431
 -0.00014142]",0
Trait Model,Emotional Resilience,Maintaining a positive outlook,,Maintain,Maintenance,"[-0.01102277  0.0502519   0.02728366 ... -0.0149904  -0.00541202
 -0.01022782]",0
Trait Model,Empathy,Understanding and sharing others' emotions,Empathy,Understand,Understanding,"[-0.02193206 -0.00476341 -0.01195947 ... -0.00506271 -0.0063077
 -0.0114118 ]",10
Trait Model,Empathy,Showing compassion and concern,,Share,Sharing,"[-0.00670766 -0.01448406 -0.00208143 ... -0.02987992  0.01554533
 -0.01708492]",10
Trait Model,Empathy,Perspective-taking,,Show,Perspective-taking,"[-0.02957849  0.01351618 -0.0008126  ... -0.02286103  0.0117217
 -0.00760454]",10
Trait Model,Emotional Intelligence Quotient (EQ),Measuring and assessing emotional intelligence,Emotional Intelligence Quotient (EQ),Measure,Measurement,"[-0.01998525  0.00921911 -0.0210166  ... -0.02221984  0.00833101
 -0.02045509]",5
Trait Model,Emotional Intelligence Quotient (EQ),Quantifying emotional competencies,,Quantify,Quantification,"[-0.0119259   0.03298626 -0.03071223 ... -0.03306292  0.02337911
 -0.00430214]",5
Trait Model,Emotional Intelligence Quotient (EQ),Evaluating emotional self-awareness,,Evaluate,Evaluation,"[-0.0217091   0.02604562 -0.0223324  ... -0.02624454  0.01863243
 -0.01869874]",5
Mixed Model,Self-Awareness,Recognizing one's own emotions and their effects,Self-Awareness,Recognize,Recognition,"[ 0.01895651 -0.00045265 -0.02114726 ... -0.0067978  -0.00204095
 -0.00478101]",11
Mixed Model,Self-Awareness,Understanding one's strengths and weaknesses,,Understand,Understanding,"[ 0.00233032  0.01979163 -0.00544811 ... -0.00526222 -0.00392385
  0.02033239]",6
Mixed Model,Self-Awareness,Emotional self-assessment,,Assess,Assessment,"[ 0.00052409  0.0160269  -0.00284843 ... -0.01297291  0.00573601
  0.00105144]",6
Mixed Model,Social Awareness,Perceiving and understanding others' emotions,Social Awareness,Perceive,Perception,"[ 0.02548468 -0.00632248 -0.02860072 ... -0.01677649 -0.00579039
 -0.00623206]",14
Mixed Model,Social Awareness,Empathizing with others,,Understand,Understanding,"[ 0.00575577  0.00710986 -0.02278266 ... -0.00164488 -0.00342588
  0.00844981]",14
Mixed Model,Social Awareness,Social perceptiveness,,Empathize,Empathy,"[ 0.0345151  -0.00196793 -0.0279296  ... -0.01317836  0.00136524
  0.00644953]",14
Mixed Model,Self-Management,Managing one's own emotions,Self-Management,Manage,Management,"[ 0.00515309  0.01938198  0.03331709 ... -0.01620234 -0.01419778
 -0.01056193]",7
Mixed Model,Self-Management,Adapting to changing circumstances,,Adapt,Adaptation,"[ 0.00632888  0.03961535  0.03932082 ... -0.02873218 -0.01222332
 -0.0016669 ]",7
Mixed Model,Self-Management,Anger and stress management,,Control,Control,"[-0.00032233  0.03383184  0.00300044 ... -0.02210268 -0.00450158
 -0.01301111]",4
Mixed Model,Relationship Management,Building and maintaining relationships,Relationship Management,Build,Building,"[-0.00734105  0.03891773  0.02755094 ... -0.01252377  0.0024645
 -0.00490869]",12
Mixed Model,Relationship Management,Influencing and inspiring others,,Influence,Influence,"[-0.01506979 -0.00924964  0.00187305 ... -0.02514478  0.00826064
  0.01300641]",3
Mixed Model,Relationship Management,Conflict resolution,,Resolve,Resolution,"[-0.01011217  0.05544616  0.0311829  ...  0.01187177 -0.00954791
  0.01241376]",12
Integrated Model,Intrapersonal Intelligence,Self-reflection,Intrapersonal Intelligence,Reflect,Reflection,"[-0.00538164  0.03483522  0.00620586 ... -0.02389012 -0.01260564
  0.02345377]",9
Integrated Model,Intrapersonal Intelligence,Self-regulation,,Regulate,Regulation,"[-0.00974397  0.04467197  0.01582242 ... -0.03053727  0.00245742
  0.02663441]",9
Integrated Model,Intrapersonal Intelligence,Self-motivation,,Motivate,Motivation,"[-0.00897291  0.02062723 -0.01658549 ... -0.02163439 -0.02415884
  0.02010402]",9
Integrated Model,Interpersonal Intelligence,Empathy,Interpersonal Intelligence,Empathize,Empathy,"[-0.02011096  0.00405352 -0.00914078 ... -0.04879258 -0.00718607
  0.01170947]",3
Integrated Model,Interpersonal Intelligence,Social skills,,Communicate,Communication,"[-0.01607119  0.01066212 -0.00385201 ... -0.0377595  -0.00714492
  0.0337287 ]",3
Integrated Model,Interpersonal Intelligence,Effective communication,,Interact,Interaction,"[-0.03320542  0.0230875  -0.00042287 ... -0.04156847 -0.01212642
  0.03383607]",3
Integrated Model,Adaptability,Flexibility,Adaptability,Adapt,Adaptation,"[ 0.00777123  0.03498658  0.04679423 ... -0.007983   -0.01366864
  0.014028  ]",13
Integrated Model,Adaptability,Resilience,,Cope,Coping,"[ 0.01338804  0.04813304  0.04852211 ... -0.03265377 -0.00803144
  0.02610912]",13
Integrated Model,Adaptability,Coping with change,,Adjust,Adjustment,"[ 0.00011412  0.04216602  0.0418851  ... -0.03112588 -0.00577992
  0.01862496]",13
Integrated Model,Emotional Competence,Emotional self-awareness,Emotional Competence,Be aware,Awareness,"[ 0.01607122 -0.00804147 -0.00115307 ... -0.0204873   0.00855102
 -0.0041818 ]",1
Integrated Model,Emotional Competence,Emotional regulation,,Regulate,Regulation,"[ 0.00155992  0.03417846  0.00724588 ... -0.03883331  0.02239988
  0.00710444]",4
Integrated Model,Emotional Competence,Empathy in relationships,,Empathize,Empathy,"[-0.00563424 -0.00449014  0.00532105 ... -0.04479272  0.01811395
 -0.00920398]",14
