item_id,domain,Factor,facet,sign,keyed,text
COrga5,C,Conscientiousness,Organization,1,forward,I want everything to be just right.
COrga6,C,Conscientiousness,Organization,-1,reverse,I leave a mess in my room.
COrga7,C,Conscientiousness,Organization,-1,reverse,I leave my belongings around.
COrga8,C,Conscientiousness,Organization,-1,reverse,I don't finish the things that I start.
COrga9,C,Conscientiousness,Organization,-1,reverse,I often forget to put things back in their proper place.
CPerf1,C,Conscientiousness,Perfectionism,1,forward,I pay attention to details.
CPerf10,C,Conscientiousness,Perfectionism,-1,reverse,I prefer to just let things happen.
CPerf2,C,Conscientiousness,Perfectionism,1,forward,I continue until everything is perfect.
CPerf3,C,Conscientiousness,Perfectionism,1,forward,I have an eye for detail.
CPerf4,C,Conscientiousness,Perfectionism,1,forward,I want every detail taken care of.
CPerf5,C,Conscientiousness,Perfectionism,1,forward,I dislike imperfect work.
CPerf6,C,Conscientiousness,Perfectionism,1,forward,I want everything to add up perfectly.
CPerf7,C,Conscientiousness,Perfectionism,1,forward,I detect mistakes.
CPerf8,C,Conscientiousness,Perfectionism,1,forward,I demand quality.
CPerf9,C,Conscientiousness,Perfectionism,-1,reverse,I pay too little attention to details.
CPrud1,C,Conscientiousness,Prudence,1,forward,I avoid mistakes.
CPrud10,C,Conscientiousness,Prudence,-1,reverse,I make a fool of myself.
CPrud2,C,Conscientiousness,Prudence,1,forward,I make plans and stick to them.
CPrud3,C,Conscientiousness,Prudence,1,forward,I do things according to a plan.
CPrud4,C,Conscientiousness,Prudence,-1,reverse,I jump into things without thinking.
CPrud5,C,Conscientiousness,Prudence,-1,reverse,I do things without thinking of the consequences.
CPrud6,C,Conscientiousness,Prudence,-1,reverse,I make rash decisions.
CPrud7,C,Conscientiousness,Prudence,-1,reverse,I act impulsively when something is bothering me.
CPrud8,C,Conscientiousness,Prudence,-1,reverse,I make careless mistakes.
CPrud9,C,Conscientiousness,Prudence,-1,reverse,I don't know why I do some of the things I do.
EAnxi1,E,Emotionality,Anxiety,1,forward,I often worry about things that turn out to be unimportant.
EAnxi10,E,Emotionality,Anxiety,-1,reverse,I don't worry about things that have already happened.
EAnxi2,E,Emotionality,Anxiety,1,forward,I worry about things.
EAnxi3,E,Emotionality,Anxiety,1,forward,I get stressed out easily.
EAnxi4,E,Emotionality,Anxiety,1,forward,I get upset by unpleasant thoughts that come into my mind.
EAnxi5,E,Emotionality,Anxiety,1,forward,I panic easily.
EAnxi6,E,Emotionality,Anxiety,-1,reverse,I rarely worry.
EAnxi7,E,Emotionality,Anxiety,-1,reverse,I rarely feel depressed.
EAnxi8,E,Emotionality,Anxiety,-1,reverse,I am not easily disturbed by events.
EAnxi9,E,Emotionality,Anxiety,-1,reverse,I remain calm under pressure.
EDepe1,E,Emotionality,Dependence,1,forward,I need reassurance.
EDepe10,E,Emotionality,Dependence,1,forward,I want to be liked.
EDepe2,E,Emotionality,Dependence,1,forward,I let myself be influenced by others.
EDepe3,E,Emotionality,Dependence,1,forward,I need the approval of others.
EDepe4,E,Emotionality,Dependence,1,forward,I need protection.
EDepe5,E,Emotionality,Dependence,1,forward,I often need help.
EDepe6,E,Emotionality,Dependence,1,forward,I show my sadness.
EDepe7,E,Emotionality,Dependence,1,forward,I suspect that my facial expressions give me away when I feel sad.
EDepe8,E,Emotionality,Dependence,1,forward,I seek support.
EDepe9,E,Emotionality,Dependence,1,forward,I can't do without the company of others.
EFear1,E,Emotionality,Fearfulness,1,forward,I am a physical coward.
EFear10,E,Emotionality,Fearfulness,-1,reverse,I am willing to take risks.
EFear2,E,Emotionality,Fearfulness,1,forward,I begin to panic when there is danger.
EFear3,E,Emotionality,Fearfulness,1,forward,I would fear walking in a high-crime part of a city.
EFear4,E,Emotionality,Fearfulness,1,forward,I tremble in dangerous situations.
EFear5,E,Emotionality,Fearfulness,1,forward,I would never go riding down a stretch of rapids in a canoe.
EFear6,E,Emotionality,Fearfulness,-1,reverse,I like to do frightening things.
EFear7,E,Emotionality,Fearfulness,-1,reverse,I face danger confidently.
EFear8,E,Emotionality,Fearfulness,-1,reverse,I love dangerous situations.
EFear9,E,Emotionality,Fearfulness,-1,reverse,I would be good at rescuing people from a burning building.
ESent1,E,Emotionality,Sentimentality,1,forward,I feel others' emotions.
ESent10,E,Emotionality,Sentimentality,-1,reverse,I seldom get emotional.
ESent2,E,Emotionality,Sentimentality,1,forward,I immediately feel sad when hearing of an unhappy event.
ESent3,E,Emotionality,Sentimentality,1,forward,I cry during movies.
ESent4,E,Emotionality,Sentimentality,1,forward,I am sensitive to the needs of others.
ESent5,E,Emotionality,Sentimentality,1,forward,I am deeply moved by others' misfortunes.
ESent6,E,Emotionality,Sentimentality,-1,reverse,I rarely cry during sad movies.
ESent7,E,Emotionality,Sentimentality,-1,reverse,I seldom feel weepy while reading the sad part of a story.
ESent8,E,Emotionality,Sentimentality,-1,reverse,I am seldom bothered by the apparent suffering of strangers.
ESent9,E,Emotionality,Sentimentality,-1,reverse,I don't understand people who get emotional.
HFair1,H,Honesty-Humility,Fairness,1,forward,I would never take things that aren't mine.
HFair10,H,Honesty-Humility,Fairness,-1,reverse,I would not regret my behavior if I were to take advantage of someone impulsively.
HFair2,H,Honesty-Humility,Fairness,1,forward,I would never cheat on my taxes.
HFair3,H,Honesty-Humility,Fairness,1,forward,I return extra change when a cashier makes a mistake.
HFair4,H,Honesty-Humility,Fairness,1,forward,I would feel very badly for a long time if I were to steal from someone.
HFair5,H,Honesty-Humility,Fairness,1,forward,I try to follow the rules.
HFair6,H,Honesty-Humility,Fairness,-1,reverse,I admire a really clever scam.
HFair7,H,Honesty-Humility,Fairness,-1,reverse,I cheat to get ahead.
HFair8,H,Honesty-Humility,Fairness,-1,reverse,I steal things.
HFair9,H,Honesty-Humility,Fairness,-1,reverse,I cheat on people who have trusted me.
HGree1,H,Honesty-Humility,Greed-Avoidance,1,forward,I would not enjoy being a famous celebrity.
HGree10,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I am out for my own personal gain.
HGree2,H,Honesty-Humility,Greed-Avoidance,1,forward,I don't strive for elegance in my appearance.
HGree3,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I love luxury.
HGree4,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I have a strong need for power.
HGree5,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I seek status.
HGree6,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I am mainly interested in money.
HGree7,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I wish to stay young forever.
HGree8,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I try to impress others.
HGree9,H,Honesty-Humility,Greed-Avoidance,-1,reverse,I prefer to eat at expensive restaurants.
HMode1,H,Honesty-Humility,Modesty,1,forward,I don't think that i'm better than other people.
HMode10,H,Honesty-Humility,Modesty,-1,reverse,I boast about my virtues.
HMode2,H,Honesty-Humility,Modesty,1,forward,I see myself as an average person.
HMode3,H,Honesty-Humility,Modesty,1,forward,I am just an ordinary person.
HMode4,H,Honesty-Humility,Modesty,1,forward,I consider myself an average person.
HMode5,H,Honesty-Humility,Modesty,-1,reverse,I would like to have more power than other people.
HMode6,H,Honesty-Humility,Modesty,-1,reverse,I believe that I am better than others.
HMode7,H,Honesty-Humility,Modesty,-1,reverse,I like to attract attention.
HMode8,H,Honesty-Humility,Modesty,-1,reverse,I am more capable than most others.
HMode9,H,Honesty-Humility,Modesty,-1,reverse,I am likely to show off if I get the chance.
HSinc1,H,Honesty-Humility,Sincerity,1,forward,I don't pretend to be more than I am.
HSinc10,H,Honesty-Humility,Sincerity,-1,reverse,I let people push me around to help them feel important.
HSinc2,H,Honesty-Humility,Sincerity,-1,reverse,I use flattery to get ahead.
HSinc3,H,Honesty-Humility,Sincerity,-1,reverse,I tell other people what they want to hear so that they will do what I want them to do.
HSinc4,H,Honesty-Humility,Sincerity,-1,reverse,I put on a show to impress people.
HSinc5,H,Honesty-Humility,Sincerity,-1,reverse,I switch my loyalties when I feel like it.
HSinc6,H,Honesty-Humility,Sincerity,-1,reverse,I play a role in order to impress people.
HSinc7,H,Honesty-Humility,Sincerity,-1,reverse,I pretend to be concerned for others.
HSinc8,H,Honesty-Humility,Sincerity,-1,reverse,I act like different people in different situations.
HSinc9,H,Honesty-Humility,Sincerity,-1,reverse,I find it necessary to please the people who have power.
OAesA1,O,Openness to Experience,Aesthetic Appreciation,1,forward,I believe in the importance of art.
OAesA10,O,Openness to Experience,Aesthetic Appreciation,-1,reverse,I do not enjoy watching dance performances.
OAesA2,O,Openness to Experience,Aesthetic Appreciation,1,forward,I get deeply immersed in music.
OAesA3,O,Openness to Experience,Aesthetic Appreciation,1,forward,I see beauty in things that others might not notice.
OAesA4,O,Openness to Experience,Aesthetic Appreciation,1,forward,I enjoy feeling close to the earth.
OAesA5,O,Openness to Experience,Aesthetic Appreciation,1,forward,I have read the great literary classics.
OAesA6,O,Openness to Experience,Aesthetic Appreciation,-1,reverse,I do not like art.
OAesA7,O,Openness to Experience,Aesthetic Appreciation,-1,reverse,I seldom notice the emotional aspects of paintings and pictures.
OAesA8,O,Openness to Experience,Aesthetic Appreciation,-1,reverse,I do not like poetry.
OAesA9,O,Openness to Experience,Aesthetic Appreciation,-1,reverse,I do not like concerts.
OCrea1,O,Openness to Experience,Creativity,1,forward,I have a vivid imagination.
OCrea10,O,Openness to Experience,Creativity,-1,reverse,I seldom experience sudden intuitive insights.
OCrea2,O,Openness to Experience,Creativity,1,forward,I come up with something new.
OCrea3,O,Openness to Experience,Creativity,1,forward,I carry the conversation to a higher level.
OCrea4,O,Openness to Experience,Creativity,1,forward,I am full of ideas.
OCrea5,O,Openness to Experience,Creativity,1,forward,I love to think up new ways of doing things.
OCrea6,O,Openness to Experience,Creativity,1,forward,I have excellent ideas.
OCrea7,O,Openness to Experience,Creativity,-1,reverse,I do not have a good imagination.
OCrea8,O,Openness to Experience,Creativity,-1,reverse,I have difficulty imagining things.
OCrea9,O,Openness to Experience,Creativity,-1,reverse,I have trouble guessing how others will react.
OInqu1,O,Openness to Experience,Inquisitiveness,1,forward,I am interested in science.
OInqu10,O,Openness to Experience,Inquisitiveness,-1,reverse,I will not probe deeply into a subject.
OInqu2,O,Openness to Experience,Inquisitiveness,1,forward,I would love to explore strange places.
OInqu3,O,Openness to Experience,Inquisitiveness,1,forward,I enjoy intellectual games.
OInqu4,O,Openness to Experience,Inquisitiveness,1,forward,I love to read challenging material.
OInqu5,O,Openness to Experience,Inquisitiveness,1,forward,I find political discussions interesting.
OInqu6,O,Openness to Experience,Inquisitiveness,1,forward,I have a rich vocabulary.
OInqu7,O,Openness to Experience,Inquisitiveness,-1,reverse,I don't know much about history.
OInqu8,O,Openness to Experience,Inquisitiveness,-1,reverse,I avoid difficult reading material.
OInqu9,O,Openness to Experience,Inquisitiveness,-1,reverse,I don't bother worrying about political and social problems.
OUnco1,O,Openness to Experience,Unconventionality,1,forward,I am considered to be kind of eccentric.
OUnco10,O,Openness to Experience,Unconventionality,-1,reverse,I try to avoid complex people.
OUnco2,O,Openness to Experience,Unconventionality,1,forward,I know that my ideas sometimes surprise people.
OUnco3,O,Openness to Experience,Unconventionality,1,forward,I do things that others find strange.
OUnco4,O,Openness to Experience,Unconventionality,1,forward,I rebel against authority.
OUnco5,O,Openness to Experience,Unconventionality,1,forward,I swim against the current.
OUnco6,O,Openness to Experience,Unconventionality,-1,reverse,I would hate to be considered odd or strange.
OUnco7,O,Openness to Experience,Unconventionality,-1,reverse,I enjoy being thought of as a normal mainstream person.
OUnco8,O,Openness to Experience,Unconventionality,-1,reverse,I like to be viewed as proper and conventional.
OUnco9,O,Openness to Experience,Unconventionality,-1,reverse,I like to be thought of as a normal kind of person.
XExpr1,X,Extraversion,Expressiveness,1,forward,I talk a lot.
XExpr10,X,Extraversion,Expressiveness,-1,reverse,I speak softly.
XExpr2,X,Extraversion,Expressiveness,1,forward,I am never at a loss for words.
XExpr3,X,Extraversion,Expressiveness,1,forward,I am the life of the party.
XExpr4,X,Extraversion,Expressiveness,1,forward,I tell people about it when i'm irritated.
XExpr5,X,Extraversion,Expressiveness,1,forward,"I have an intense, boisterous laugh."
XExpr6,X,Extraversion,Expressiveness,-1,reverse,I don't talk a lot.
XExpr7,X,Extraversion,Expressiveness,-1,reverse,I don't like to draw attention to myself.
XExpr8,X,Extraversion,Expressiveness,-1,reverse,I say little.
XExpr9,X,Extraversion,Expressiveness,-1,reverse,I bottle up my feelings.
XLive1,X,Extraversion,Liveliness,1,forward,I maintain high energy throughout the day.
XLive10,X,Extraversion,Liveliness,-1,reverse,I often feel blue.
XLive2,X,Extraversion,Liveliness,1,forward,I have great stamina.
XLive3,X,Extraversion,Liveliness,1,forward,I am usually active and full of energy.
XLive4,X,Extraversion,Liveliness,1,forward,I smile a lot.
XLive5,X,Extraversion,Liveliness,1,forward,I feel healthy and vibrant most of the time.
XLive6,X,Extraversion,Liveliness,1,forward,I laugh a lot.
XLive7,X,Extraversion,Liveliness,1,forward,I feel that I have a lot of inner strength.
XLive8,X,Extraversion,Liveliness,1,forward,I have a lot of fun.
XLive9,X,Extraversion,Liveliness,-1,reverse,I tire out quickly.
XSoci1,X,Extraversion,Sociability,1,forward,I usually like to spend my free time with people.
XSoci10,X,Extraversion,Sociability,-1,reverse,I keep others at a distance.
XSoci2,X,Extraversion,Sociability,1,forward,I talk to a lot of different people at parties.
XSoci3,X,Extraversion,Sociability,1,forward,I love to chat.
XSoci4,X,Extraversion,Sociability,1,forward,I make friends easily.
XSoci5,X,Extraversion,Sociability,1,forward,I enjoy being part of a group.
XSoci6,X,Extraversion,Sociability,-1,reverse,I seem to derive less enjoyment from interacting with people than others do.
XSoci7,X,Extraversion,Sociability,-1,reverse,I rarely enjoy being with people.
XSoci8,X,Extraversion,Sociability,-1,reverse,I would not enjoy a job that involves a lot of social interaction.
XSoci9,X,Extraversion,Sociability,-1,reverse,I am hard to get to know.
XSocB1,X,Extraversion,Social Boldness,1,forward,I am good at making impromptu speeches.
XSocB10,X,Extraversion,Social Boldness,-1,reverse,I have little to say.
XSocB2,X,Extraversion,Social Boldness,1,forward,I don't mind being the center of attention.
XSocB3,X,Extraversion,Social Boldness,1,forward,I feel comfortable around people.
XSocB4,X,Extraversion,Social Boldness,1,forward,I have leadership abilities.
XSocB5,X,Extraversion,Social Boldness,1,forward,I have a strong personality.
XSocB6,X,Extraversion,Social Boldness,-1,reverse,I would be afraid to give a speech in public.
XSocB7,X,Extraversion,Social Boldness,-1,reverse,I keep in the background.
XSocB8,X,Extraversion,Social Boldness,-1,reverse,I find it difficult to approach others.
XSocB9,X,Extraversion,Social Boldness,-1,reverse,I hate being the center of attention.
