Type,Name,Factor,Adjective,Synonym,Verb,Noun,Adjacencies
Type 4,Individualist,Envy,Jealous,Jealousy,Envy,Jealousy,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Envy,Resentful,Resentment,Compare,Resentment,"['Type 3', 'Type 5', 'Type 8']"
Type 4,Individualist,Envy,Comparative,Comparison,Resent,Comparison,"['Type 3', 'Type 5', 'Type 8']"
Type 5,Investigator,Intellectual Curiosity,Inquisitive,Curiosity,Explore,Curiosity,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Intellectual Curiosity,Knowledge-Seeking,Inquisitiveness,Inquire,Inquisitiveness,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Intellectual Curiosity,Curious,Thirst for knowledge,Research,Knowledge,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Observation,Perceptive,Perception,Observe,Observation,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Observation,Insightful,Insight,Perceive,Insight,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Observation,Thoughtful,Thoughtfulness,Reflect,Reflection,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Avarice,Greed,Greed,Hoard,Greed,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Avarice,Hoarding,Covetousness,Accumulate,Possession,"['Type 4', 'Type 6', 'Type 9']"
Type 5,Investigator,Avarice,Possessive,Possession,Grasp,Hoarding,"['Type 4', 'Type 6', 'Type 9']"
Type 6,Loyalist,Loyalty,Devoted,Devotion,Remain devoted,Devotion,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Loyalty,Faithful,Fidelity,Stay loyal,Fidelity,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Loyalty,Trustworthy,Allegiance,Be faithful,Allegiance,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Anxiety,Worried,Worry,Worry,Worry,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Anxiety,Nervous,Nervousness,Fret,Nervousness,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Anxiety,Apprehensive,Apprehension,Feel nervous,Apprehension,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Suspicion,Doubtful,Doubt,Suspect,Doubt,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Suspicion,Cautious,Caution,Doubt,Caution,"['Type 5', 'Type 7', 'Type 1']"
Type 6,Loyalist,Suspicion,Wary,Wariness,Question,Wariness,"['Type 5', 'Type 7', 'Type 1']"
Type 7,Enthusiast,Enthusiasm,Energetic,Energy,Get excited,Energy,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Enthusiasm,Passionate,Passion,Feel passionate,Passion,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Enthusiasm,Excitable,Excitement,Enthuse,Excitement,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Planning,Organized,Organization,Organize,Organization,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Planning,Prepared,Preparation,Prepare,Preparation,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Planning,Strategic,Strategy,Strategize,Strategy,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Gluttony,Indulgent,Indulgence,Indulge,Indulgence,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Gluttony,Excessive,Excess,Overeat,Excess,"['Type 6', 'Type 8', 'Type 2']"
Type 7,Enthusiast,Gluttony,Insatiable,Insatiability,Crave,Craving,"['Type 6', 'Type 8', 'Type 2']"
Type 8,Challenger,Assertiveness,Confident,Confidence,Assert,Confidence,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Assertiveness,Decisive,Decisiveness,Decide,Decisiveness,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Assertiveness,Bold,Boldness,Take bold action,Boldness,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Ego,Self-Centered,Self-Centeredness,Dominate,Self-Centeredness,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Ego,Dominant,Dominance,Impose,Dominance,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Ego,Strong-Willed,Willpower,Lead,Willpower,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Lust,Desire,Desire,Desire,Desire,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Lust,Craving,Craving,Crave,Craving,"['Type 7', 'Type 9', 'Type 4']"
Type 8,Challenger,Lust,Passion,Passion,Yearn,Passion,"['Type 7', 'Type 9', 'Type 4']"
Type 9,Peacemaker,Perseverance,Persistent,Persistence,Persist,Persistence,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Perseverance,Tenacious,Tenacity,Endure,Tenacity,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Perseverance,Determined,Determination,Persevere,Determination,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Skepticism,Doubtful,Doubt,Doubt,Doubt,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Skepticism,Questioning,Questioning,Question,Questioning,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Skepticism,Cynical,Cynicism,Suspect,Cynicism,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Peacefulness,Calm,Calmness,Remain calm,Calmness,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Peacefulness,Tranquil,Tranquility,Relax,Tranquility,"['Type 8', 'Type 1', 'Type 3']"
Type 9,Peacemaker,Peacefulness,Serene,Serenity,Find peace,Serenity,"['Type 8', 'Type 1', 'Type 3']"
