Factor,Adjective,Synonym,Verb,Noun
Vanity,Self-Obsessed,Self-involved,Obsess over,Obsession
Vanity,Self-Obsessed,Egotistic,Self-admire,Self-focus
Vanity,Self-Obsessed,Narcissistic,Self-check,Self-importance
Vanity,Self-Obsessed,Preoccupied,Analyze,Self-absorption
Vanity,Egotistical,Conceited,Brag,Egotism
Vanity,Egotistical,Self-important,Boast,Self-importance
Vanity,Egotistical,Self-inflated,Exaggerate,Boastfulness
Vanity,Egotistical,Overconfident,Self-promote,Grandiosity
Vanity,Showy,Flamboyant,Show off,Showiness
Vanity,Showy,Flashy,Display,Flamboyance
Vanity,Showy,Ostentatious,Exaggerate,Spectacle
Vanity,Showy,Theatrical,Draw attention,Exaggeration
Vanity,Self-Indulgent,Luxury-seeking,Indulge,Self-indulgence
Vanity,Self-Indulgent,Materialistic,Spoil oneself,Luxury
Vanity,Self-Indulgent,Hedonistic,Pamper,Materialism
Vanity,Self-Indulgent,Excessive,Satisfy desires,Excess
Entitlement,Entitled,Deserving,Expect favors,Entitlement
Entitlement,Entitled,Privileged,Demand,Privilege
Entitlement,Entitled,Expectant,Claim rights,Expectation
Entitlement,Entitled,Superior,Assert privilege,Special treatment
Entitlement,Presumptuous,Bold,Overstep,Presumption
Entitlement,Presumptuous,Overconfident,Assume,Overconfidence
Entitlement,Presumptuous,Immodest,Take liberties,Ego
Entitlement,Presumptuous,Assumptive,Demand,Entitlement
Entitlement,Overbearing,Domineering,Dominate,Oppression
Entitlement,Overbearing,Intimidating,Overwhelm,Overreach
Entitlement,Overbearing,Imperious,Suppress,Imperiousness
Entitlement,Overbearing,Oppressive,Control,Domination
Entitlement,Self-Important,Egotistical,Self-assert,Self-importance
Entitlement,Self-Important,Self-inflated,Exalt oneself,Arrogance
Entitlement,Self-Important,Grandiose,Expect recognition,Egotism
Entitlement,Self-Important,Self-promoting,Demand attention,Grandiosity
Entitlement,Demanding,Insistent,Insist upon,Demands
Entitlement,Demanding,Pushy,Require,Expectations
Entitlement,Demanding,Assertive,Enforce,Insistence
Entitlement,Demanding,Imperative,Command,Commands
Entitlement,Superiority-Seeking,Self-aggrandizing,Assert dominance,Superiority
Entitlement,Superiority-Seeking,Pretentious,Claim superiority,Self-aggrandizement
Entitlement,Superiority-Seeking,Overestimating,Look down on others,Elitism
Entitlement,Superiority-Seeking,Self-exalting,Elevate oneself,Pretentiousness
