item_id,item_text,model,category,n_factors,available_factors,source_type,instrument,expert_factor_assignment,expert_confidence,expert_notes
eval_018,I feel the need to wash my hands repeatedly throughout the day.,SCID,Clinical,21,"Anxiety Disorders | Bipolar and Related Disorders | Depressive Disorders | Disruptive, Impulse-Control, and Conduct Disorders | Dissociative Disorders | Elimination Disorders | Feeding and Eating Disorders | Gender Dysphoria | Medication-Induced Movement Disorders and Other Adverse Effects of Medication | Neurocognitive Disorders | Neurodevelopmental Disorders | Obsessive-Compulsive and Related Disorders | Other Conditions That May Be a Focus of Clinical Attention | Paraphilic Disorders | Personality Disorders | Schizophrenia Spectrum and Other Psychotic Disorders | Sexual Dysfunctions | Sleep-Wake Disorders | Somatic Symptom and Related Disorders | Substance-Related and Addictive Disorders | Trauma- and Stressor-Related Disorders",LLM-generated,,,,
eval_019,I prefer to stick to familiar routines.,TEI,App/Holistic,15,Adaptability | Emotional Competence | Emotional Intelligence Quotient (EQ) | Emotional Resilience | Empathy | Interpersonal Intelligence | Intrapersonal Intelligence | Managing Emotions | Perceiving Emotions | Relationship Management | Self-Awareness | Self-Management | Social Awareness | Understanding Emotions | Using Emotions,LLM-generated,,,,
eval_020,"I see myself as someone who is depressed, blue",OCEAN,,5,Agreeableness | Conscientiousness | Extraversion | Neuroticism | Openness,human,BFI-44,,,
eval_021,I love trying new things and seeking out new experiences.,TCI,Clinical,7,Cooperativeness | Harm Avoidance | Novelty Seeking | Persistence | Reward Dependence | Self-Directedness | Self-Transcendence,LLM-generated,,,,
eval_022,I have been in trouble with the law for aggressive behavior.,SCID,Clinical,21,"Anxiety Disorders | Bipolar and Related Disorders | Depressive Disorders | Disruptive, Impulse-Control, and Conduct Disorders | Dissociative Disorders | Elimination Disorders | Feeding and Eating Disorders | Gender Dysphoria | Medication-Induced Movement Disorders and Other Adverse Effects of Medication | Neurocognitive Disorders | Neurodevelopmental Disorders | Obsessive-Compulsive and Related Disorders | Other Conditions That May Be a Focus of Clinical Attention | Paraphilic Disorders | Personality Disorders | Schizophrenia Spectrum and Other Psychotic Disorders | Sexual Dysfunctions | Sleep-Wake Disorders | Somatic Symptom and Related Disorders | Substance-Related and Addictive Disorders | Trauma- and Stressor-Related Disorders",LLM-generated,,,,
eval_023,I often feel like I have to challenge authority.,MMPI,Clinical,10,Depression | Hypochondriasis | Hypomania | Hysteria | Masculinity_Femininity | Paranoia | Psychasthenia | Psychopathic_Deviate | Schizophrenia | Social_Introversion,LLM-generated,,,,
eval_024,She often feels nervous in social situations.,OCEAN,Trait-Based,5,Agreeableness | Conscientiousness | Extraversion | Neuroticism | Openness,LLM-generated,,,,
eval_025,It is important to this person to be humble and modest. This person tries not to draw attention,STBV,,4,Conservation | Openness to Change | Self-Enhancement | Self-Transcendence,human,Portrait Values Questionnaire (PVQ-21),,,
eval_026,You should wait for the right time to get back at people,Dark Triad,,3,Machiavellianism | Narcissism | Psychopathy,human,Short Dark Triad (SD3),,,
eval_027,I like to weigh pros and cons before making a decision.,MBTI,Trait-Based,8,Extraversion | Feeling | Introversion | Intuition | Judging | Perceiving | Sensing | Thinking,LLM-generated,,,,
eval_028,He often reflects on his place in the universe.,TCI,Clinical,7,Cooperativeness | Harm Avoidance | Novelty Seeking | Persistence | Reward Dependence | Self-Directedness | Self-Transcendence,LLM-generated,,,,
eval_029,I am good at understanding social contexts.,TEI,App/Holistic,15,Adaptability | Emotional Competence | Emotional Intelligence Quotient (EQ) | Emotional Resilience | Empathy | Interpersonal Intelligence | Intrapersonal Intelligence | Managing Emotions | Perceiving Emotions | Relationship Management | Self-Awareness | Self-Management | Social Awareness | Understanding Emotions | Using Emotions,LLM-generated,,,,
eval_030,I feel responsible for ensuring everything goes smoothly.,RFT,Motivational,2,Prevention Focus | Promotion Focus,LLM-generated,,,,
eval_031,He can easily switch between different roles and responsibilities.,Enneagram,App/Holistic,27,Achievement Orientation | Adaptability | Anger | Anxiety | Assertiveness | Avarice | Ego | Emotional Sensitivity | Enthusiasm | Envy | Gluttony | Helpfulness | Individualism | Intellectual Curiosity | Loyalty | Lust | Need for Appreciation | Observation | Peacefulness | Perfectionism | Perseverance | Planning | Pride | Resentment | Skepticism | Suspicion | Vanity,LLM-generated,,,,
eval_032,I often set personal goals and work diligently to achieve them.,TCI,Clinical,7,Cooperativeness | Harm Avoidance | Novelty Seeking | Persistence | Reward Dependence | Self-Directedness | Self-Transcendence,LLM-generated,,,,
eval_033,Trouble relaxing,GAD-7,,7,"Becoming Easily Annoyed or Irritable | Being So Restless That It’s Hard to Sit Still | Feeling Afraid as if Something Awful Might Happen | Feeling Nervous, Anxious, or On Edge | Not Being Able to Stop or Control Worrying | Trouble Relaxing | Worrying Too Much About Different Things",human,GAD-7,,,
eval_034,I like to use clever manipulation to get my way,Dark Triad,,3,Machiavellianism | Narcissism | Psychopathy,human,Short Dark Triad (SD3),,,
eval_035,I like to keep busy with various social activities.,OCEAN,Trait-Based,5,Agreeableness | Conscientiousness | Extraversion | Neuroticism | Openness,LLM-generated,,,,
eval_036,I prefer jobs that allow me to work independently.,SDT,Motivational,3,Autonomy | Competence | Relatedness,LLM-generated,,,,
eval_037,"I am committed to my goals, but I also value flexibility.",Enneagram,App/Holistic,27,Achievement Orientation | Adaptability | Anger | Anxiety | Assertiveness | Avarice | Ego | Emotional Sensitivity | Enthusiasm | Envy | Gluttony | Helpfulness | Individualism | Intellectual Curiosity | Loyalty | Lust | Need for Appreciation | Observation | Peacefulness | Perfectionism | Perseverance | Planning | Pride | Resentment | Skepticism | Suspicion | Vanity,LLM-generated,,,,
eval_038,I am most comfortable when I can follow a schedule and know what to expect,MBTI,,8,Extraversion | Feeling | Introversion | Intuition | Judging | Perceiving | Sensing | Thinking,human,Open Extended Jungian Type Scales (OEJTS),,,
eval_039,"I enjoy being successful, but I also care about the well-being of others.",STBV,Motivational,4,Conservation | Openness to Change | Self-Enhancement | Self-Transcendence,LLM-generated,,,,
eval_040,I will let the other person have some of their positions if they let me have some of mine,TKI,,5,Accommodating | Avoiding | Collaborating | Competing | Compromising,human,TKI,,,
eval_041,My goal is to avoid learning less than it is possible to learn,AAM,,2,Approach Motivation | Avoidance Motivation,human,Achievement Goal Questionnaire - Revised (AGQ-R),,,
eval_042,"He sometimes struggles to let go of tasks, even when they are no longer necessary.",TCI,Clinical,7,Cooperativeness | Harm Avoidance | Novelty Seeking | Persistence | Reward Dependence | Self-Directedness | Self-Transcendence,LLM-generated,,,,
eval_043,I don't have a very good sense of intuition,CEST,,2,Experiential System | Rational System,human,Rational-Experiential Inventory (REI),,,
eval_044,"When it comes to achieving things that are important to me, I find that I perform as well as I ideally would like to do",RFT,,2,Prevention Focus | Promotion Focus,human,Regulatory Focus Questionnaire (RFQ),,,
eval_045,She likes to plan her steps before taking action.,AAM,Motivational,2,Approach Motivation | Avoidance Motivation,LLM-generated,,,,
eval_046,I always know what I am doing,NPI,,7,Authority | Entitlement | Exhibitionism | Exploitativeness | Self-Sufficiency | Superiority | Vanity,human,NPI-16,,,
eval_047,"I plan ahead and organize things, to avoid scrambling at the last minute",HEXACO,,6,Agreeableness | Conscientiousness | Emotionality | Extraversion | Honesty-Humility | Openness to Experience,human,HEXACO-60,,,
eval_048,I enjoy analyzing problems to find logical solutions.,MBTI,Trait-Based,8,Extraversion | Feeling | Introversion | Intuition | Judging | Perceiving | Sensing | Thinking,LLM-generated,,,,
eval_049,I feel a sense of choice and freedom in the things I undertake,SDT,,3,Autonomy | Competence | Relatedness,human,Basic Psychological Need Satisfaction and Frustration Scale (BPNSFS),,,
eval_050,I like to keep things as they are rather than change them.,STBV,Motivational,4,Conservation | Openness to Change | Self-Enhancement | Self-Transcendence,LLM-generated,,,,
