model,factor,n_schema_rows,sample_entries,appropriateness_rating,notes
MMPI,Schizophrenia,36,Delusional / Illusional / Misinterpret / Delusion || Disconnected / Detached / Detach / Detachment || Chaotic / Disordered / Disrupt / Chaos || Hallucinatory / Imaginary / Hallucinate / Hallucination || Disoriented / Confused / Lose track / Disorientation || Fragmented / Broken / Shatter / Fragmentation,,
MMPI,Social_Introversion,36,Reserved / Restrained / Reserve / Reservation || Shy / Bashful / Shy away / Shyness || Quiet / Silent / Quiet / Quietness || Aloof / Detached / Detach / Aloofness || Lonely / Isolated / Isolate / Loneliness || Avoidant / Evasive / Avoid / Avoidance,,
BDI,Agitation,36,Restless / Fidgety / Fidget / Agitation || Frenzied / Overwrought / Lose control / Frenzy || Twitchy / Jumpy / Twitch / Twitchiness || Unsettled / Perturbed / Shift uncomfortably / Unrest || Edgy / High-strung / Brace / Edginess || Skittish / Timorous / Startle / Skittishness,,
BDI,Changes in Appetite,36,Unbalanced / Overeating / Binge / Appetite loss || Overeating / Gluttonous / Devour / Overeating || Undereating / Restrictive / Restrict intake / Undereating || Craving / Yearning / Crave / Craving || Erratic / Inconsistent / Oscillate / Erratic pattern || Avoidant / Aversion-based / Refuse food / Avoidance,,
BDI,Changes in Sleeping Pattern,36,Sleep-Deprived / Exhausted / Struggle to sleep / Insomnia || Insomniac / Sleepless / Fail to sleep / Insomnia || Hypersomnolent / Oversleeping / Oversleep / Hypersomnia || Interrupted / Broken / Wake periodically / Broken sleep || Light Sleeper / Easily awoken / Twitch awake / Light sleep || Irregular / Erratic / Change bedtime often / Irregularity,,
BDI,Crying,36,Tearful / Weeping / Cry / Tears || Weepy / Tear-laden / Break down / Weepiness || Teary-eyed / Mist-eyed / Blink back tears / Teary eyes || Sobbing / Gasping / Sob uncontrollably / Sobs || Blubbering / Incoherent crying / Blubber words / Blubbering cries || Heartbroken / Devastated / Wail in grief / Heartbreak,,
BDI,Difficulty Concentrating,36,Distracted / Unfocused / Forget / Distraction || Scatterbrained / Disorganized / Scatter focus / Scatterbrain || Fuzzy-headed / Hazy / Blur details / Fuzziness || Daydreaming / Woolgathering / Daydream / Daydream || Incoherent / Rambling / Trail off / Incoherence || Foggy / Misty / Wade through thoughts / Fog,,
BDI,Guilty Feelings,36,Ashamed / Remorseful / Feel guilty / Guilt || Remorseful / Contrite / Atone / Remorse || Regretful / Sorry / Regret / Regret || Self-blaming / Self-accusing / Blame oneself / Self-blame || Culpable / Responsible / Own up / Culpability || Penitent / Contrite / Ask forgiveness / Penitence,,
BDI,Indecisiveness,36,Hesitant / Uncertain / Hesitate / Indecision || Uncertain / Insecure / Question / Uncertainty || Undecided / Stuck / Stall / Stalemate || Vacillating / Oscillating / Vacillate / Vacillation || Waffling / Hem-hawing / Waffle / Waffle || Dithering / Wavering / Dither / Dither,,
BDI,Irritability,36,Short-Tempered / Annoyed / Snap / Irritability || Prickly / Easily offended / Take offense / Prickliness || Testy / Tetchy / Snarl / Testiness || Edgy / On edge / Fret / Edginess || Brusque / Curt / Cut off / Brusqueness || Antagonistic / Hostile / Pick fights / Antagonism,,
BDI,Loss of Energy,36,Fatigued / Exhausted / Fatigue / Fatigue || Drained / Spent / Sap / Draining || Weary / Drooping / Wear down / Weariness || Sluggish / Slow-moving / Plod / Sluggishness || Languid / Weak / Languish / Languor || Spent / Depleted / Use up / Spentness,,
BDI,Loss of Interest,36,Apathetic / Uninterested / Withdraw / Apathy || Disengaged / Unresponsive / Check out / Disengagement || Indifferent / Uncaring / Dismiss / Indifference || Unenthusiastic / Lackluster / Show no zeal / Unenthusiasm || Checked-out / Spaced out / Space out / Check-out || Uninvolved / Hands-off / Refuse engagement / Lack of involvement,,
BDI,Loss of Interest in Sex,36,Uninterested / Apathetic / Avoid / Disinterest || Repelled / Disgusted / Feel revulsion / Repulsion || Apathetic / Uncaring / Feel no spark / Apathy || Inhibited / Constrained / Restrain desire / Inhibition || Dispassionate / Cool / Withdraw affection / Dispassion || Turned-off / Unaroused / Lose any spark / Turn-off,,
BDI,Loss of Pleasure,36,Joyless / Uninterested / Lose interest / Joylessness || Anhedonic / Pleasureless / Feel nothing / Anhedonia || Disenchanted / Disillusioned / Lose faith / Disenchantment || Unenthusiastic / Lackluster / Drag along / Unenthusiasm || Lifeless / Inert / Wither / Lifelessness || Bland / Tasteless / Bore / Blandness,,
BDI,Past Failure,36,Regretful / Remorseful / Regret / Regret || Remorseful / Guilt-ridden / Feel guilty / Remorse || Ashamed / Embarrassed / Blush / Shame || Defeated / Overcome / Lose / Defeat || Self-blaming / Self-accusing / Blame oneself / Self-blame || Humbled / Penitent / Humble oneself / Humility,,
BDI,Pessimism,36,Hopeless / Negative / Doubt / Pessimism || Cynical / Skeptical / Scoff / Cynicism || Defeatist / Resigned / Give up / Defeatism || Negative / Downbeat / Reject / Negativity || Fatalistic / Doomed / Accept fate / Fatalism || Foreboding / Ominous / Dread / Foreboding,,
BDI,Punishment Feelings,36,Self-punishing / Self-blaming / Punish oneself / Self-punishment || Self-chastising / Self-critical / Chastise oneself / Self-chastisement || Self-flagellating / Self-flogging / Flagellate / Self-flagellation || Self-condemning / Self-accusing / Condemn oneself / Self-condemnation || Self-torturing / Self-anguishing / Torture oneself / Self-torture || Self-persecuting / Self-harassing / Persecute oneself / Self-persecution,,
BDI,Sadness,36,Despondent / Down / Suffer / Sadness || Mournful / Sorrowful / Mourn / Mourning || Somber / Dark / Reflect / Somberness || Tearful / Weepy / Cry / Tears || Hopeless / Despairing / Despair / Hopelessness || Low-Spirited / Downcast / Droop / Low spirits,,
BDI,Self-Criticalness,36,Harsh / Judgmental / Criticize / Criticism || Hypercritical / Overly critical / Pick apart / Hypercriticism || Relentless / Unremitting / Press on / Relentlessness || Exacting / Demanding / Demand perfection / Exactitude || Merciless / Ruthless / Attack flaws / Mercilessness || Demanding / Tough / Require effort / Demand,,
BDI,Self-Dislike,36,Unworthy / Self-hating / Loathe / Self-hatred || Self-loathing / Self-reviling / Loathe self / Self-loathing || Self-deprecating / Self-belittling / Belittle self / Self-deprecation || Inferior / Lesser / Feel lesser / Inferiority || Self-disgust / Self-repulsion / Feel repulsed / Self-disgust || Self-shaming / Self-humiliating / Shame oneself / Self-shame,,
BDI,Suicidal Thoughts or Wishes,36,Hopeless / Despairing / Contemplate suicide / Suicidal ideation || Desperate / Frantic / Plead for help / Desperation || Self-destructive / Self-harming / Hurt oneself / Self-destruction || Terminal / End-stage / Accept finality / Terminal stage || Surrendering / Yielding / Surrender / Surrender || Escape-seeking / Fleeing reality / Seek escape / Escape attempt,,
BDI,Tiredness or Fatigue,36,Exhausted / Weary / Collapse / Fatigue || Drained / Spent / Expend / Draining || Sleepy / Drowsy / Nod off / Sleepiness || Languid / Weak / Languish / Languor || Overworked / Stressed / Overexert / Overwork || Worn-out / Used up / Wear out / Worn-outness,,
BDI,Worthlessness,36,Inadequate / Useless / Belittle / Worthlessness || Valueless / No-value / Invalidate / Valuelessness || Meaningless / Empty / Lose sense / Meaninglessness || Pointless / Futile / Waste effort / Pointlessness || Unimportant / Trivial / Downplay / Unimportance || Useless / No-good / Fail repeatedly / Uselessness,,
TKI,Accommodating,4,"Unassertive and cooperative mode, yielding to the other party’s concerns. / Yielding / Accommodate / Accommodation",,
TKI,Avoiding,4,"Unassertive and uncooperative mode, sidestepping or withdrawing from conflict. / Sidestepping / Avoid / Avoidance",,
TKI,Collaborating,4,"Assertive and cooperative mode, finding mutually beneficial solutions. / Cooperative / Collaborate / Collaboration",,
TKI,Competing,4,"Assertive and uncooperative mode, pursuing own concerns at the expense of others. / Aggressive / Compete / Competition",,
TKI,Compromising,4,"Moderate in assertiveness and cooperation, finding an acceptable middle ground. / Mediating / Compromise / Compromise",,
RIASEC,Artistic,20,Creative / Inventive / Invent / Creativity || Expressive / Emotional / Express / Expression || Open-minded / Receptive / Accept / Open-mindedness || Independent / Autonomous / Lead / Autonomy || Impulsive / Spontaneous / Act spontaneously / Impulsiveness,,
RIASEC,Conventional,20,Organized / Systematic / Organize / Organization || Detail-oriented / Meticulous / Detail / Detail || Efficient / Effective / Produce / Efficiency || Reliable / Dependable / Depend / Reliability || Conforming / Compliant / Conform / Conformity,,
RIASEC,Enterprising,20,Persuasive / Influential / Persuade / Persuasion || Ambitious / Driven / Aspire / Ambition || Extroverted / Outgoing / Socialize / Extroversion || Energetic / Vigorous / Activate / Energy || Risk-taking / Adventurous / Risk / Risk,,
RIASEC,Investigative,20,Analytical / Logical / Analyze / Analysis || Intellectual / Cerebral / Study / Intellect || Inquisitive / Curious / Inquire / Curiosity || Scientific / Systematic / Experiment / Precision || Complex / Complicated / Complicate / Complexity,,
RIASEC,Realistic,20,Practical / Useful / Use / Practicality || Physical / Bodily / Touch / Physicality || Hands-on / Practical / Handle / Manual work || Concrete / Tangible / Build / Reality || Natural / Organic / Grow / Nature,,
RIASEC,Social,20,Cooperative / Collaborative / Cooperate / Cooperation || Friendly / Amiable / Greet / Friendship || Helpful / Supportive / Help / Helpfulness || Empathetic / Compassionate / Empathize / Empathy || Patient / Tolerant / Wait / Patience,,
