model,model_display,category,factor,n_rows,variance_contribution
pct,PCT (Personal Construct),Cognitive,Cognitive Flexibility,25,300.02784
npi,NPI (Narcissistic Personality),Narcissism-Based,Authority,24,299.603584
mst,MST (Motivational Systems),Motivational,Behavioral Inhibition System,16,299.389173
em,EM (Enneagram),App/Holistic,Envy,3,298.478939
pct,PCT (Personal Construct),Cognitive,Health-related,25,294.764421
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Assertiveness,24,294.469609
tci,TCI (Temperament & Character),Clinical,Reward Dependence,36,291.766131
bdi,BDI (Beck Depression),Clinical,Suicidal Thoughts or Wishes,36,291.439626
mbti,MBTI,Trait-Based,Thinking,18,290.96181
cs,CS (Clifton Strengths),Motivational,Strategic Thinking,32,288.955084
mbti,MBTI,Trait-Based,Intuition,18,287.105194
pct,PCT (Personal Construct),Cognitive,Cognitive,25,286.418882
mst,MST (Motivational Systems),Motivational,Fight-Flight-Freeze System,16,285.481141
bdi,BDI (Beck Depression),Clinical,Past Failure,36,285.322243
cs,CS (Clifton Strengths),Motivational,Relationship Building,36,285.104867
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Contingent Self-Esteem,24,284.547297
dtm,DTM (Dark Triad),Narcissism-Based,Psychopathy,18,283.177372
mmpi,MMPI,Clinical,Depression,36,283.01437
bt,BT (Bartle Types),App/Holistic,Achievers,16,282.75882
mbti,MBTI,Trait-Based,Perceiving,18,281.30621
pct,PCT (Personal Construct),Cognitive,Self-concept,20,280.740651
tci,TCI (Temperament & Character),Clinical,Cooperativeness,36,277.511123
bdi,BDI (Beck Depression),Clinical,Changes in Appetite,36,276.954146
pct,PCT (Personal Construct),Cognitive,Personal Development,20,273.746674
sixteenpf,16PF (Cattell),Trait-Based,Dominance,12,273.565438
epm,EPM (Eysenck PEN),Trait-Based,Neuroticism,18,273.485318
mbti,MBTI,Trait-Based,Feeling,18,272.761129
stbv,STBV (Schwartz Values),Motivational,Self-Enhancement,32,271.391801
gad7,GAD-7 (Anxiety),Clinical,Feeling Afraid as if Something Awful Might Happen,36,271.238886
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Overconfidence,24,270.966431
sixteenpf,16PF (Cattell),Trait-Based,Liveliness,12,270.046702
hex,HEXACO,Trait-Based,Openness to Experience,9,269.154109
mcmi,MCMI (Millon Clinical),Clinical,Clinical Syndromes,30,268.557256
bt,BT (Bartle Types),App/Holistic,Killers,16,268.276671
cs,CS (Clifton Strengths),Motivational,Executing,36,267.380809
mbti,MBTI,Trait-Based,Judging,18,266.018584
em,EM (Enneagram),App/Holistic,Helpfulness,3,265.530449
ftm,FTM (Four Temperaments),Trait-Based,Phlegmatic,20,265.013703
ocean,OCEAN (Big Five),Trait-Based,Agreeableness,24,264.340634
pct,PCT (Personal Construct),Cognitive,Motivational,25,263.647445
pct,PCT (Personal Construct),Cognitive,Social Dynamics,20,262.349364
bdi,BDI (Beck Depression),Clinical,Self-Criticalness,36,261.571599
sdt,SDT (Self-Determination),Motivational,Autonomy,28,261.065324
mst,MST (Motivational Systems),Motivational,Behavioral Activation System,16,261.014781
tmp,TMP (Triarchic Psychopathy),Clinical,Disinhibition,36,259.720217
sdt,SDT (Self-Determination),Motivational,Competence,28,258.38398
bdi,BDI (Beck Depression),Clinical,Loss of Interest in Sex,36,257.996354
sixteenpf,16PF (Cattell),Trait-Based,Apprehension,12,256.461222
cest,CEST (Cognitive-Experiential),Cognitive,Rational System,36,253.676355
rft,RFT (Regulatory Focus),Motivational,Promotion Focus,28,252.615086
em,EM (Enneagram),App/Holistic,Emotional Sensitivity,3,252.323215
riasec,RIASEC (Holland Vocational),App/Holistic,Conventional,20,252.14804
mmpi,MMPI,Clinical,Social_Introversion,36,251.783514
pct,PCT (Personal Construct),Cognitive,Personal Growth,20,250.63496
em,EM (Enneagram),App/Holistic,Assertiveness,3,250.196603
tei,TEI (Emotional Intelligence),App/Holistic,Relationship Management,3,248.653572
sixteenpf,16PF (Cattell),Trait-Based,Sensitivity,12,247.953746
npi,NPI (Narcissistic Personality),Narcissism-Based,Exhibitionism,24,246.989748
mbti,MBTI,Trait-Based,Sensing,18,245.831541
ocean,OCEAN (Big Five),Trait-Based,Openness,24,245.709432
sixteenpf,16PF (Cattell),Trait-Based,Reasoning,12,244.56541
sdt,SDT (Self-Determination),Motivational,Relatedness,28,244.391127
pct,PCT (Personal Construct),Cognitive,Moral,25,242.091663
sixteenpf,16PF (Cattell),Trait-Based,Self-Reliance,12,240.192691
tei,TEI (Emotional Intelligence),App/Holistic,Intrapersonal Intelligence,3,239.824082
mmpi,MMPI,Clinical,Schizophrenia,36,238.400825
aam,AAM (Approach-Avoidance),Motivational,Avoidance Motivation,20,236.353667
stbv,STBV (Schwartz Values),Motivational,Conservation,32,235.973039
hex,HEXACO,Trait-Based,Conscientiousness,9,235.824082
bdi,BDI (Beck Depression),Clinical,Pessimism,36,235.501066
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Entitlement,24,234.117321
fsls,FSLS (Felder-Silverman Learning),Cognitive,Sensing,36,233.51953
tei,TEI (Emotional Intelligence),App/Holistic,Self-Management,3,233.518895
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Grandiose Fantasy,24,228.772184
gad7,GAD-7 (Anxiety),Clinical,Trouble Relaxing,36,225.773624
pct,PCT (Personal Construct),Cognitive,Emotional Sensitivity,25,224.756213
riasec,RIASEC (Holland Vocational),App/Holistic,Investigative,20,223.59672
pni,PNI (Pathological Narcissism),Narcissism-Based,Devaluing,24,222.897698
fsls,FSLS (Felder-Silverman Learning),Cognitive,Inductive,36,217.673561
pct,PCT (Personal Construct),Cognitive,Work-related,25,216.6253
gad7,GAD-7 (Anxiety),Clinical,"Feeling Nervous, Anxious, or On Edge",36,216.288809
hex,HEXACO,Trait-Based,Extraversion,12,214.66353
pct,PCT (Personal Construct),Cognitive,Perseverance,25,214.307456
em,EM (Enneagram),App/Holistic,Achievement Orientation,3,213.818104
fsls,FSLS (Felder-Silverman Learning),Cognitive,Deductive,36,213.348364
pct,PCT (Personal Construct),Cognitive,Harmony,25,209.043053
sixteenpf,16PF (Cattell),Trait-Based,Emotional Stability,12,208.677005
cmoa,CMOA (Circumplex of Affect),App/Holistic,Arousal,18,207.059664
bdi,BDI (Beck Depression),Clinical,Irritability,36,206.978547
ocean,OCEAN (Big Five),Trait-Based,Conscientiousness,24,206.066832
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Need for Admiration,24,205.010036
em,EM (Enneagram),App/Holistic,Perfectionism,3,203.727047
gad7,GAD-7 (Anxiety),Clinical,Being So Restless That It’s Hard to Sit Still,36,203.46143
fsls,FSLS (Felder-Silverman Learning),Cognitive,Global,36,203.334868
em,EM (Enneagram),App/Holistic,Individualism,3,202.26932
bdi,BDI (Beck Depression),Clinical,Changes in Sleeping Pattern,36,201.912241
sixteenpf,16PF (Cattell),Trait-Based,Openness to Change,12,201.684537
stbv,STBV (Schwartz Values),Motivational,Self-Transcendence,32,199.358335
epm,EPM (Eysenck PEN),Trait-Based,Stability,18,196.02027
pni,PNI (Pathological Narcissism),Narcissism-Based,Hiding the Self,24,195.221537
scid,SCID (DSM Structured Interview),Clinical,Personality Disorders,23,194.782858
fsls,FSLS (Felder-Silverman Learning),Cognitive,Verbal,36,194.204458
fsls,FSLS (Felder-Silverman Learning),Cognitive,Sequential,36,194.066425
dt4,DT4 (Dark Tetrad),Narcissism-Based,Sadism,24,193.986618
bdi,BDI (Beck Depression),Clinical,Loss of Interest,36,192.716813
tci,TCI (Temperament & Character),Clinical,Persistence,36,192.545167
pct,PCT (Personal Construct),Cognitive,Innovativeness,25,192.403686
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Self-Absorption,24,190.488251
em,EM (Enneagram),App/Holistic,Resentment,3,185.015821
gad7,GAD-7 (Anxiety),Clinical,Not Being Able to Stop or Control Worrying,36,183.474647
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Devaluing,24,183.145402
pct,PCT (Personal Construct),Cognitive,Analytical Reasoning,25,181.885464
bdi,BDI (Beck Depression),Clinical,Agitation,36,181.794289
tei,TEI (Emotional Intelligence),App/Holistic,Empathy,3,181.466586
sixteenpf,16PF (Cattell),Trait-Based,Perfectionism,12,180.778234
bdi,BDI (Beck Depression),Clinical,Guilty Feelings,36,180.693234
pct,PCT (Personal Construct),Cognitive,Mental Health,20,180.289738
ipn,IPN (Interpersonal),Narcissism-Based,Grandiose Fantasy,12,178.073247
tei,TEI (Emotional Intelligence),App/Holistic,Interpersonal Intelligence,3,176.107986
pct,PCT (Personal Construct),Cognitive,Innovation and Technology,24,176.059737
sixteenpf,16PF (Cattell),Trait-Based,Warmth,12,172.205716
papc,PAPC,App/Holistic,Psychological Characteristics,12,171.772748
bdi,BDI (Beck Depression),Clinical,Difficulty Concentrating,36,171.066276
em,EM (Enneagram),App/Holistic,Adaptability,3,170.084319
pct,PCT (Personal Construct),Cognitive,Personal Relationships,20,167.284817
bdi,BDI (Beck Depression),Clinical,Self-Dislike,36,166.518509
em,EM (Enneagram),App/Holistic,Enthusiasm,3,165.355919
gad7,GAD-7 (Anxiety),Clinical,Becoming Easily Annoyed or Irritable,36,163.148831
sixteenpf,16PF (Cattell),Trait-Based,Rule-Consciousness,12,162.540767
gad7,GAD-7 (Anxiety),Clinical,Worrying Too Much About Different Things,36,162.192366
hex,HEXACO,Trait-Based,Agreeableness,9,161.814435
hex,HEXACO,Trait-Based,Honesty-Humility,15,159.560925
bdi,BDI (Beck Depression),Clinical,Sadness,36,159.491584
em,EM (Enneagram),App/Holistic,Skepticism,3,157.379787
bdi,BDI (Beck Depression),Clinical,Loss of Pleasure,36,156.943263
sixteenpf,16PF (Cattell),Trait-Based,Vigilance,12,156.583742
em,EM (Enneagram),App/Holistic,Need for Appreciation,3,155.542938
pct,PCT (Personal Construct),Cognitive,Time Management,20,154.983655
pct,PCT (Personal Construct),Cognitive,Global Awareness,20,152.833673
bdi,BDI (Beck Depression),Clinical,Indecisiveness,36,147.030444
scid,SCID (DSM Structured Interview),Clinical,Other Conditions That May Be a Focus of Clinical Attention,13,146.174486
em,EM (Enneagram),App/Holistic,Anxiety,3,138.778501
sixteenpf,16PF (Cattell),Trait-Based,Abstractedness,12,138.564412
sixteenpf,16PF (Cattell),Trait-Based,Privateness,12,137.050111
pct,PCT (Personal Construct),Cognitive,Physical Wellness,20,135.391101
pct,PCT (Personal Construct),Cognitive,Health and Wellness,20,126.66271
papc,PAPC,App/Holistic,Lifestyle,15,125.269861
tei,TEI (Emotional Intelligence),App/Holistic,Emotional Competence,3,121.132164
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Hiding the Self,24,120.838874
scid,SCID (DSM Structured Interview),Clinical,"Disruptive, Impulse-Control, and Conduct Disorders",16,117.37373
rit,RIT (Rorschach Inkblot),Clinical,Content,15,116.473049
bdi,BDI (Beck Depression),Clinical,Loss of Energy,36,116.082376
scid,SCID (DSM Structured Interview),Clinical,Neurodevelopmental Disorders,59,115.720362
mcmi,MCMI (Millon Clinical),Clinical,Modifying Indices,9,111.445498
ffni,FFNI (Five-Factor Narcissism),Narcissism-Based,Self-Sufficiency,24,110.926884
riasec,RIASEC (Holland Vocational),App/Holistic,Realistic,20,109.584221
scid,SCID (DSM Structured Interview),Clinical,Anxiety Disorders,33,109.48601
rit,RIT (Rorschach Inkblot),Clinical,Location,12,109.145782
pct,PCT (Personal Construct),Cognitive,Career Development,20,108.087257
em,EM (Enneagram),App/Holistic,Suspicion,3,107.820312
bdi,BDI (Beck Depression),Clinical,Tiredness or Fatigue,36,107.397806
pct,PCT (Personal Construct),Cognitive,Career and Professional Development,20,106.977807
pct,PCT (Personal Construct),Cognitive,Cultural Awareness,20,106.587408
em,EM (Enneagram),App/Holistic,Anger,3,105.194147
wais,WAIS (Intelligence),Clinical,Perceptual Reasoning Index (PRI),20,104.812667
em,EM (Enneagram),App/Holistic,Planning,3,101.015797
tei,TEI (Emotional Intelligence),App/Holistic,Self-Awareness,6,100.379053
em,EM (Enneagram),App/Holistic,Perseverance,3,98.995822
tei,TEI (Emotional Intelligence),App/Holistic,Adaptability,3,98.109645
pct,PCT (Personal Construct),Cognitive,Cultural Engagement,20,97.268501
pct,PCT (Personal Construct),Cognitive,Lifelong Learning,20,94.525931
papc,PAPC,App/Holistic,Health,15,94.429826
pct,PCT (Personal Construct),Cognitive,Professional Growth,20,93.168183
bdi,BDI (Beck Depression),Clinical,Punishment Feelings,36,93.001449
bdi,BDI (Beck Depression),Clinical,Crying,36,92.71214
scid,SCID (DSM Structured Interview),Clinical,Feeding and Eating Disorders,24,91.632352
scid,SCID (DSM Structured Interview),Clinical,Schizophrenia Spectrum and Other Psychotic Disorders,24,91.625841
scid,SCID (DSM Structured Interview),Clinical,Paraphilic Disorders,10,89.136145
scid,SCID (DSM Structured Interview),Clinical,Medication-Induced Movement Disorders and Other Adverse Effects of Medication,7,88.027558
scid,SCID (DSM Structured Interview),Clinical,Somatic Symptom and Related Disorders,15,87.444507
tei,TEI (Emotional Intelligence),App/Holistic,Social Awareness,3,87.273046
wais,WAIS (Intelligence),Clinical,Verbal Comprehension Index (VCI),16,85.849369
pct,PCT (Personal Construct),Cognitive,Health and Wellbeing,20,85.555311
tei,TEI (Emotional Intelligence),App/Holistic,Perceiving Emotions,3,85.392159
em,EM (Enneagram),App/Holistic,Gluttony,3,83.167416
bdi,BDI (Beck Depression),Clinical,Worthlessness,36,82.121838
em,EM (Enneagram),App/Holistic,Avarice,3,80.057088
em,EM (Enneagram),App/Holistic,Observation,3,78.87963
em,EM (Enneagram),App/Holistic,Vanity,3,78.001586
pct,PCT (Personal Construct),Cognitive,Community and Social Engagement,20,77.606449
ipn,IPN (Interpersonal),Narcissism-Based,Self-Sacrificing Self-Enhancement,8,76.370905
tei,TEI (Emotional Intelligence),App/Holistic,Managing Emotions,3,74.474855
pct,PCT (Personal Construct),Cognitive,Environmental Conservation,20,74.361002
scid,SCID (DSM Structured Interview),Clinical,Sleep-Wake Disorders,24,74.312104
tei,TEI (Emotional Intelligence),App/Holistic,Emotional Resilience,3,72.323328
scid,SCID (DSM Structured Interview),Clinical,Sexual Dysfunctions,23,71.782398
scid,SCID (DSM Structured Interview),Clinical,Depressive Disorders,24,71.535568
scid,SCID (DSM Structured Interview),Clinical,Neurocognitive Disorders,8,66.639133
pct,PCT (Personal Construct),Cognitive,Digital Transformation,20,66.130731
scid,SCID (DSM Structured Interview),Clinical,Obsessive-Compulsive and Related Disorders,23,65.994667
wais,WAIS (Intelligence),Clinical,Processing Speed Index (PSI),12,64.553556
pct,PCT (Personal Construct),Cognitive,Environmental Advocacy,20,62.932199
papc,PAPC,App/Holistic,Person,18,62.700547
papc,PAPC,App/Holistic,Social Factors,12,62.501773
rit,RIT (Rorschach Inkblot),Clinical,Determinants,18,61.921619
pct,PCT (Personal Construct),Cognitive,Environmental Awareness,20,61.158448
pct,PCT (Personal Construct),Cognitive,Civic Engagement,20,59.397826
em,EM (Enneagram),App/Holistic,Loyalty,3,56.860153
scid,SCID (DSM Structured Interview),Clinical,Substance-Related and Addictive Disorders,11,56.672853
tei,TEI (Emotional Intelligence),App/Holistic,Emotional Intelligence Quotient (EQ),3,56.004974
scid,SCID (DSM Structured Interview),Clinical,Dissociative Disorders,15,55.957413
scid,SCID (DSM Structured Interview),Clinical,Gender Dysphoria,9,52.497503
tei,TEI (Emotional Intelligence),App/Holistic,Using Emotions,3,52.488879
em,EM (Enneagram),App/Holistic,Pride,3,52.161598
em,EM (Enneagram),App/Holistic,Lust,3,50.446342
disc,DISC,Interpersonal,Active Listening,2,49.796271
em,EM (Enneagram),App/Holistic,Intellectual Curiosity,3,48.769749
tei,TEI (Emotional Intelligence),App/Holistic,Understanding Emotions,3,45.445553
scid,SCID (DSM Structured Interview),Clinical,Trauma- and Stressor-Related Disorders,13,43.760338
scid,SCID (DSM Structured Interview),Clinical,Bipolar and Related Disorders,21,42.706205
em,EM (Enneagram),App/Holistic,Peacefulness,3,35.602306
wais,WAIS (Intelligence),Clinical,Working Memory Index (WMI),12,35.377189
ipn,IPN (Interpersonal),Narcissism-Based,Devaluing,4,34.54319
ipn,IPN (Interpersonal),Narcissism-Based,Hiding the Self,4,30.303504
scid,SCID (DSM Structured Interview),Clinical,Elimination Disorders,6,22.287033
tki,TKI (Thomas-Kilmann Conflict),Interpersonal,Competing,4,19.982555
tat,TAT (Thematic Apperception),Clinical,Conflict Theme,3,18.408325
tat,TAT (Thematic Apperception),Clinical,Power,3,18.016653
tat,TAT (Thematic Apperception),Clinical,Success Outcome,3,16.389208
tat,TAT (Thematic Apperception),Clinical,Hero,3,14.27258
tat,TAT (Thematic Apperception),Clinical,Failure Outcome,3,14.269488
tat,TAT (Thematic Apperception),Clinical,Supportive Figure,3,13.047981
tki,TKI (Thomas-Kilmann Conflict),Interpersonal,Collaborating,4,11.081106
tat,TAT (Thematic Apperception),Clinical,Betrayal,3,10.98238
tat,TAT (Thematic Apperception),Clinical,Intimacy,3,10.909633
tki,TKI (Thomas-Kilmann Conflict),Interpersonal,Accommodating,4,10.322004
tat,TAT (Thematic Apperception),Clinical,Achievement,3,10.284023
tki,TKI (Thomas-Kilmann Conflict),Interpersonal,Avoiding,4,8.946466
tat,TAT (Thematic Apperception),Clinical,Authotaty Figure,3,8.779963
tat,TAT (Thematic Apperception),Clinical,Rivalry,3,7.394963
tat,TAT (Thematic Apperception),Clinical,Peer,3,6.48338
tki,TKI (Thomas-Kilmann Conflict),Interpersonal,Compromising,4,5.877365
tat,TAT (Thematic Apperception),Clinical,Villain,3,5.65063
disc,DISC,Interpersonal,Inspirational,1,0.0
disc,DISC,Interpersonal,Interpersonal Skills,1,0.0
disc,DISC,Interpersonal,Intrinsic Motivators,1,0.0
disc,DISC,Interpersonal,Adventurous,1,0.0
disc,DISC,Interpersonal,Precise,1,0.0
disc,DISC,Interpersonal,Motivators,1,0.0
disc,DISC,Interpersonal,Organization,1,0.0
disc,DISC,Interpersonal,Independent,1,0.0
disc,DISC,Interpersonal,Patient,1,0.0
disc,DISC,Interpersonal,Personal Motivators,1,0.0
disc,DISC,Interpersonal,Experience,1,0.0
disc,DISC,Interpersonal,Identity,1,0.0
disc,DISC,Interpersonal,Sociability,1,0.0
disc,DISC,Interpersonal,Identification,1,0.0
disc,DISC,Interpersonal,Hierarchy,1,0.0
disc,DISC,Interpersonal,Extrinsic Motivators,1,0.0
disc,DISC,Interpersonal,Expressive,1,0.0
disc,DISC,Interpersonal,Even-tempered,1,0.0
disc,DISC,Interpersonal,Enthusiastic,1,0.0
disc,DISC,Interpersonal,Empathy,1,0.0
disc,DISC,Interpersonal,Cooperativeness,1,0.0
disc,DISC,Interpersonal,Competitive,1,0.0
disc,DISC,Interpersonal,Clarity,1,0.0
disc,DISC,Interpersonal,Cautious,1,0.0
disc,DISC,Interpersonal,Analytical Nature,1,0.0
disc,DISC,Interpersonal,Analytical,1,0.0
disc,DISC,Interpersonal,Accommodating,1,0.0
